	monx                      mony
  -1.6989700043360187      -0.73737981471307501     
  -1.7923916894982539      -0.90431317996921257     
  -1.8864907251724818       -1.0769865103908178     
  -1.9822712330395684       -1.2629490291402052     
  -2.0791812460476251       -1.4654083320831024     
  -2.1760912590556813       -1.6731749187244538     
  -2.2718416065364990       -1.8722110840487998     
  -2.3673559210260189       -2.0744327354093031     
  -2.4638929889859074       -2.2797890068260789     
  -2.5599066250361124       -2.4767999458295034     
  -2.6560982020128319       -2.6703459647373777     
  -2.7528164311882715       -2.8681663278294320     
  -2.8494194137968996       -3.0629689381032121     
  -2.9459607035775686       -3.2562663513272030     
