monx	size	size_2	lag_y	ratio		bb_y	ratio_bb
1	200	40000	796	0.0199  	796	0.0199
2	300	90000	1394	0.0154888889	1394	0.0154888889
3	400	160000	2392	0.01495		2192	0.0137
4	500	250000	3490	0.01396		2790	0.01116
5	600	360000	4788	0.0133		3588	0.0099666667
6	700	490000	6286	0.0128285714	4186	0.0085428571
7	800	640000	7984	0.012475	4984	0.0077875
8	900	810000	9882	0.0122		5582	0.006891358
9	1000	1000000	11980	0.01198		6380	0.00638
10	1100	1210000	14278	0.0118		6978	0.0057669421
11	1200	1440000	16776	0.01165		7776	0.0054
12	1300	1690000	19474	0.0115230769	8374	0.0049550296
13	1400	1960000	22372	0.0114142857	9172	0.0046795918
14	1500	2250000	25470	0.01132		9770	0.0043422222
15	1600	2560000	28768	0.0112375	10568	0.004128125
16	1700	2890000	32166	0.0111301038	11166	0.0038636678
17	1800	3240000	35764	0.0110382716	11964	0.0036925926
18	1900	3610000	39262	0.0108759003	12562	0.0034797784
19	2000	4000000	43560	0.01089		13360	0.00334
20	2100	4410000	48258	0.0109428571	13958	0.0031650794
