1	200	40000	1400	0.0199  	1400	0.0199
2	300	90000	3000	0.0154888889	2700	0.0154888889
3	400	160000	5200	0.01495		4400	0.0137
4	500	250000	8000	0.01396		6000	0.01116
5	600	360000	11400	0.0133		7800	0.0099666667
6	700	490000	15400	0.0128285714	9500	0.0085428571
7	800	640000	20000	0.012475	11600	0.0077875
8	900	810000	25200	0.0122		13200   0.006891358
9	1000	1000000	31000	0.01198		15400	0.00638
10	1100	1210000	37400	0.0118		17000	0.0057669421
11	1200	1440000	44400	0.01165		19200	0.0054
12	1300	1690000	52000	0.0115230769	20800	0.0049550296
13	1400	1960000	60200	0.0114142857	23000	0.0046795918
14	1500	2250000	69000	0.01132		24600	0.0043422222
15	1600	2560000	78400	0.0112375	26800	0.004128125
16	1700	2890000	87618	0.0111301038	28400	0.0038636678
17	1800	3240000	92462	0.0110382716	30000	0.0036925926
18	1900	3610000	NaN	0.0108759003	32200	0.0034797784
19	2000	4000000	NaN	0.01089		34400	0.00334
20	2100	4410000	NaN	0.0109428571	36000	0.0031650794
