	monx          mony
   0.00000000      -2.69330782E-12
   3.50000011E-03  -3.00115054E-12
   7.00000022E-03  -2.98594678E-12
   1.05000008E-02  -2.69800219E-12
   1.40000004E-02  -2.20533899E-12
   1.75000001E-02  -1.58699930E-12
   2.10000016E-02  -9.25707102E-13
   2.45000012E-02  -3.00535123E-13
   2.80000009E-02   2.19783162E-13
   3.15000005E-02   5.82330408E-13
   3.50000001E-02   7.53822081E-13
   3.84999998E-02   7.22476115E-13
   4.20000032E-02   4.97830835E-13
   4.55000028E-02   1.08596224E-13
   4.90000024E-02  -4.01194974E-13
   5.25000021E-02  -9.77320872E-13
   5.60000017E-02  -1.56126186E-12
   5.95000014E-02  -2.09626500E-12
   6.30000010E-02  -2.53299530E-12
   6.65000007E-02  -2.83424174E-12
   7.00000003E-02  -2.97824894E-12
   7.34999999E-02  -2.96039191E-12
   7.69999996E-02  -2.79307588E-12
   8.04999992E-02  -2.50392025E-12
   8.40000063E-02  -2.13245697E-12
   8.75000060E-02  -1.72570996E-12
   9.10000056E-02  -1.33312708E-12
   9.45000052E-02  -1.00139352E-12
   9.80000049E-02  -7.69651866E-13
  0.101500005      -6.65605320E-13
  0.105000004      -7.02882847E-13
  0.108500004      -8.79908505E-13
  0.112000003      -1.18036201E-12
  0.115500003      -1.57515472E-12
  0.119000003      -2.02568973E-12
  0.122500002      -2.48805208E-12
  0.126000002      -2.91767977E-12
  0.129500002      -3.27402862E-12
  0.133000001      -3.52474820E-12
  0.136500001      -3.64894573E-12
  0.140000001      -3.63921306E-12
  0.143500000      -3.50221805E-12
  0.147000000      -3.25782804E-12
  0.150500000      -2.93686169E-12
  0.153999999      -2.57772883E-12
  0.157499999      -2.22231413E-12
  0.160999998      -1.91154427E-12
  0.164499998      -1.68110068E-12
  0.168000013      -1.55772671E-12
  0.171500012      -1.55650286E-12
  0.175000012      -1.67937094E-12
  0.178500012      -1.91504538E-12
  0.182000011      -2.24031167E-12
  0.185500011      -2.62256362E-12
  0.189000010      -3.02330383E-12
  0.192500010      -3.40223552E-12
  0.196000010      -3.72151138E-12
  0.199500009      -3.94969604E-12
  0.203000009      -4.06502653E-12
  0.206500009      -4.05763617E-12
  0.210000008      -3.93051650E-12
  0.213500008      -3.69912000E-12
  0.217000008      -3.38965813E-12
  0.220500007      -3.03627978E-12
  0.224000007      -2.67742837E-12
