      monx             mony
   0.00000000      -1.09593584E-11
   3.50000011E-03  -1.03681551E-11
   7.00000022E-03  -9.73185595E-12
   1.05000008E-02  -9.05323993E-12
   1.40000004E-02  -8.33526824E-12
   1.75000001E-02  -7.58107032E-12
   2.10000016E-02  -6.79393130E-12
   2.45000012E-02  -5.97727987E-12
   2.80000009E-02  -5.13467437E-12
   3.15000005E-02  -4.26978635E-12
   3.50000001E-02  -3.38638774E-12
   3.84999998E-02  -2.48833397E-12
   4.20000032E-02  -1.57954856E-12
   4.55000028E-02  -6.64006773E-13
   4.90000024E-02   2.54280592E-13
   5.25000021E-02   1.17128388E-12
   5.60000017E-02   2.08297138E-12
   5.95000014E-02   2.98532618E-12
   6.30000010E-02   3.87436220E-12
   6.65000007E-02   4.74614141E-12
   7.00000003E-02   5.59679083E-12
   7.34999999E-02   6.42251747E-12
   7.69999996E-02   7.21962507E-12
   8.04999992E-02   7.98452970E-12
   8.40000063E-02   8.71377363E-12
   8.75000060E-02   9.40404178E-12
   9.10000056E-02   1.00521761E-11
   9.45000052E-02   1.06551859E-11
   9.80000049E-02   1.12102636E-11
  0.101500005       1.17147949E-11
  0.105000004       1.21663738E-11
  0.108500004       1.25628067E-11
  0.112000003       1.29021273E-11
  0.115500003       1.31826043E-11
  0.119000003       1.34027468E-11
  0.122500002       1.35613135E-11
  0.126000002       1.36573183E-11
  0.129500002       1.36900335E-11
  0.133000001       1.36589932E-11
  0.136500001       1.35639989E-11
  0.140000001       1.34051190E-11
  0.143500000       1.31826884E-11
  0.147000000       1.28973091E-11
  0.150500000       1.25498466E-11
  0.153999999       1.21414311E-11
  0.157499999       1.16734495E-11
  0.160999998       1.11475412E-11
  0.164499998       1.05655935E-11
  0.168000013       9.92973238E-12
  0.171500012       9.24231611E-12
  0.175000012       8.50592600E-12
  0.178500012       7.72335581E-12
  0.182000011       6.89760011E-12
  0.185500011       6.03184386E-12
  0.189000010       5.12944895E-12
  0.192500010       4.19394207E-12
  0.196000010       3.22899888E-12
  0.199500009       2.23843036E-12
  0.203000009       1.22616739E-12
  0.206500009       1.96245296E-13
  0.210000008      -8.47213358E-13
  0.213500008      -1.90001465E-12
  0.217000008      -2.95791061E-12
  0.220500007      -4.01661647E-12
  0.224000007      -5.07182837E-12
  0.227500007      -6.11924053E-12
  0.231000006      -7.15456297E-12
  0.234500006      -8.17353910E-12
  0.238000005      -9.17196440E-12
  0.241500005      -1.01457020E-11
  0.245000005      -1.10906995E-11
  0.248500004      -1.20030097E-11
  0.252000004      -1.28788005E-11
  0.255500019      -1.37143786E-11
  0.259000003      -1.45061983E-11
  0.262500018      -1.52508787E-11
  0.266000003      -1.59452208E-11
  0.269500017      -1.65862185E-11
  0.273000002      -1.71710684E-11
  0.276500016      -1.76971857E-11
  0.280000001      -1.81622200E-11
  0.283500016      -1.85640513E-11
  0.287000000      -1.89008167E-11
  0.290500015      -1.91709027E-11
  0.294000000      -1.93729668E-11
  0.297500014      -1.95059316E-11
  0.300999999      -1.95689957E-11
  0.304500014      -1.95616388E-11
  0.307999998      -1.94836230E-11
  0.311500013      -1.93349919E-11
  0.314999998      -1.91160785E-11
  0.318500012      -1.88274934E-11
  0.321999997      -1.84701317E-11
  0.325500011      -1.80451730E-11
  0.328999996      -1.75540641E-11
  0.332500011      -1.69985259E-11
  0.336000025      -1.63805428E-11
  0.339500010      -1.57023543E-11
  0.343000025      -1.49664500E-11
  0.346500009      -1.41755574E-11
  0.350000024      -1.33326284E-11
  0.353500009      -1.24408357E-11
  0.357000023      -1.15035533E-11
  0.360500008      -1.05243470E-11
  0.364000022      -9.50695946E-12
  0.367500007      -8.45529549E-12
  0.371000022      -7.37340484E-12
  0.374500006      -6.26547035E-12
  0.378000021      -5.13578633E-12
  0.381500006      -3.98874380E-12
  0.385000020      -2.82881357E-12
  0.388500005      -1.66052643E-12
  0.392000020      -4.88455847E-13
  0.395500004       6.82800604E-13
  0.399000019       1.84864038E-12
  0.402500004       3.00447362E-12
  0.406000018       4.14574364E-12
  0.409500003       5.26794407E-12
  0.413000017       6.36663769E-12
  0.416500002       7.43747511E-12
  0.420000017       8.47621105E-12
  0.423500001       9.47872683E-12
  0.427000016       1.04410395E-11
  0.430500001       1.13593249E-11
  0.434000015       1.22299332E-11
  0.437500000       1.30493992E-11
  0.441000015       1.38144617E-11
  0.444499999       1.45220762E-11
  0.448000014       1.51694282E-11
  0.451500028       1.57539416E-11
  0.455000013       1.62732969E-11
  0.458500028       1.67254318E-11
  0.462000012       1.71085611E-11
  0.465500027       1.74211739E-11
  0.469000012       1.76620489E-11
  0.472500026       1.78302546E-11
  0.476000011       1.79251596E-11
  0.479500026       1.79464273E-11
  0.483000010       1.78940265E-11
  0.486500025       1.77682261E-11
  0.490000010       1.75696003E-11
  0.493500024       1.72990199E-11
  0.497000009       1.69576575E-11
  0.500500023       1.65469773E-11
  0.504000008       1.60687314E-11
  0.507499993       1.55249563E-11
  0.511000037       1.49179610E-11
  0.514500022       1.42503188E-11
  0.518000007       1.35248609E-11
  0.521499991       1.27446621E-11
  0.525000036       1.19130305E-11
  0.528500021       1.10334927E-11
  0.532000005       1.01097819E-11
  0.535499990       9.14582212E-12
  0.539000034       8.14571240E-12
  0.542500019       7.11370979E-12
  0.546000004       6.05421529E-12
  0.549499989       4.97175174E-12
  0.553000033       3.87094913E-12
  0.556500018       2.75652439E-12
  0.560000002       1.63326178E-12
  0.563500047       5.05994118E-13
  0.567000031      -6.20416912E-13
  0.570500016      -1.74110108E-12
  0.574000001      -2.85119953E-12
  0.577500045      -3.94588485E-12
  0.581000030      -5.02038038E-12
  0.584500015      -6.06998176E-12
  0.588000000      -7.09007462E-12
  0.591500044      -8.07615520E-12
  0.595000029      -9.02384677E-12
  0.598500013      -9.92892314E-12
  0.601999998      -1.07873207E-11
  0.605500042      -1.15951597E-11
  0.609000027      -1.23487583E-11
  0.612500012      -1.30446504E-11
  0.615999997      -1.36796000E-11
  0.619500041      -1.42506146E-11
  0.623000026      -1.47549577E-11
  0.626500010      -1.51901616E-11
  0.629999995      -1.55540424E-11
  0.633500040      -1.58447023E-11
  0.637000024      -1.60605453E-11
  0.640500009      -1.62002772E-11
  0.643999994      -1.62629250E-11
  0.647500038      -1.62478243E-11
  0.651000023      -1.61546384E-11
  0.654500008      -1.59833535E-11
  0.657999992      -1.57342802E-11
  0.661500037      -1.54080568E-11
  0.665000021      -1.50056443E-11
  0.668500006      -1.45283256E-11
  0.672000051      -1.39776983E-11
  0.675500035      -1.33556751E-11
  0.679000020      -1.26644710E-11
  0.682500005      -1.19066007E-11
  0.686000049      -1.10848639E-11
  0.689500034      -1.02023398E-11
  0.693000019      -9.26237212E-12
  0.696500003      -8.26856032E-12
  0.700000048      -7.22473947E-12
  0.703500032      -6.13497274E-12
  0.707000017      -5.00352971E-12
  0.710500002      -3.83487339E-12
  0.714000046      -2.63364135E-12
  0.717500031      -1.40462696E-12
  0.721000016      -1.52761132E-13
  0.724500000       1.11690735E-12
  0.728000045       2.39923207E-12
  0.731500030       3.68899009E-12
  0.735000014       4.98090284E-12
  0.738499999       6.26965580E-12
  0.742000043       7.54992336E-12
  0.745500028       8.81638772E-12
  0.749000013       1.00637606E-11
  0.752499998       1.12868083E-11
  0.756000042       1.24803692E-11
  0.759500027       1.36393761E-11
  0.763000011       1.47588799E-11
  0.766499996       1.58340650E-11
  0.770000041       1.68602771E-11
  0.773500025       1.78330354E-11
  0.777000010       1.87480535E-11
  0.780499995       1.96012633E-11
  0.784000039       2.03888226E-11
  0.787500024       2.11071386E-11
  0.791000009       2.17528825E-11
  0.794500053       2.23230046E-11
  0.798000038       2.28147432E-11
  0.801500022       2.32256436E-11
  0.805000007       2.35535636E-11
  0.808500051       2.37966868E-11
  0.812000036       2.39535319E-11
  0.815500021       2.40229555E-11
  0.819000006       2.40041650E-11
  0.822500050       2.38967162E-11
  0.826000035       2.37005207E-11
  0.829500020       2.34158509E-11
  0.833000004       2.30433277E-11
  0.836500049       2.25839365E-11
  0.840000033       2.20390130E-11
  0.843500018       2.14102382E-11
  0.847000003       2.06996451E-11
  0.850500047       1.99095965E-11
  0.854000032       1.90427899E-11
  0.857500017       1.81022385E-11
  0.861000001       1.70912642E-11
  0.864500046       1.60134874E-11
  0.868000031       1.48728113E-11
  0.871500015       1.36734053E-11
  0.875000000       1.24196911E-11
  0.878500044       1.11163275E-11
  0.882000029       9.76818973E-12
  0.885500014       8.38035284E-12
  0.888999999       6.95806954E-12
  0.892500043       5.50675217E-12
  0.896000028       4.03194969E-12
  0.899500012       2.53932617E-12
  0.903000057       1.03463874E-12
  0.906500041      -4.76285407E-13
  0.910000026      -1.98757287E-12
  0.913500011      -3.49332694E-12
  0.917000055      -4.98765178E-12
  0.920500040      -6.46467645E-12
  0.924000025      -7.91857812E-12
  0.927500010      -9.34360575E-12
  0.931000054      -1.07341054E-11
  0.934500039      -1.20845400E-11
  0.938000023      -1.33895178E-11
  0.941500008      -1.46438087E-11
  0.945000052      -1.58423691E-11
  0.948500037      -1.69803633E-11
  0.952000022      -1.80531839E-11
  0.955500007      -1.90564699E-11
  0.959000051      -1.99861256E-11
  0.962500036      -2.08383415E-11
  0.966000021      -2.16096065E-11
  0.969500005      -2.22967252E-11
  0.973000050      -2.28968320E-11
  0.976500034      -2.34074062E-11
  0.980000019      -2.38262795E-11
  0.983500004      -2.41516477E-11
  0.987000048      -2.43820814E-11
  0.990500033      -2.45165312E-11
  0.994000018      -2.45543377E-11
  0.997500002      -2.44952288E-11
   1.00100005      -2.43393257E-11
   1.00450003      -2.40871455E-11
   1.00800002      -2.37396023E-11
   1.01150000      -2.32979989E-11
   1.01499999      -2.27640268E-11
   1.01850009      -2.21397622E-11
   1.02200007      -2.14276600E-11
   1.02550006      -2.06305372E-11
   1.02900004      -1.97515754E-11
   1.03250003      -1.87943012E-11
   1.03600001      -1.77625727E-11
   1.03950000      -1.66605705E-11
   1.04299998      -1.54927789E-11
   1.04650009      -1.42639702E-11
   1.05000007      -1.29791846E-11
   1.05350006      -1.16437120E-11
   1.05700004      -1.02630725E-11
   1.06050003      -8.84299491E-12
   1.06400001      -7.38939205E-12
   1.06750000      -5.90834022E-12
   1.07099998      -4.40605451E-12
   1.07450008      -2.88886211E-12
   1.07800007      -1.36318040E-12
   1.08150005       1.64511566E-13
   1.08500004       1.68769762E-12
   1.08850002       3.19985141E-12
   1.09200001       4.69446270E-12
   1.09549999       6.16506412E-12
   1.09899998       7.60525844E-12
   1.10250008       9.00874254E-12
   1.10600007       1.03693365E-11
   1.10950005       1.16810095E-11
   1.11300004       1.29378999E-11
   1.11650002       1.41343473E-11
   1.12000000       1.52649126E-11
   1.12349999       1.63244002E-11
   1.12700009       1.73078843E-11
   1.13050008       1.82107263E-11
   1.13400006       1.90285981E-11
   1.13750005       1.97574995E-11
   1.14100003       2.03937769E-11
   1.14450002       2.09341433E-11
   1.14800000       2.13756842E-11
   1.15149999       2.17158826E-11
   1.15500009       2.19526272E-11
   1.15850008       2.20842181E-11
   1.16200006       2.21093838E-11
   1.16550004       2.20272862E-11
   1.16900003       2.18375214E-11
   1.17250001       2.15401325E-11
   1.17600000       2.11356054E-11
   1.17949998       2.06248716E-11
   1.18300009       2.00093067E-11
   1.18650007       1.92907287E-11
   1.19000006       1.84713911E-11
   1.19350004       1.75539756E-11
   1.19700003       1.65415875E-11
   1.20050001       1.54377448E-11
   1.20400000       1.42463619E-11
   1.20749998       1.29717400E-11
   1.21100008       1.16185542E-11
   1.21450007       1.01918300E-11
   1.21800005       8.69693206E-12
   1.22150004       7.13954026E-12
   1.22500002       5.52563073E-12
   1.22850001       3.86145239E-12
   1.23199999       2.15350372E-12
   1.23550010       4.08509272E-13
   1.23900008      -1.36660800E-12
   1.24250007      -3.16475210E-12
   1.24600005      -4.97868196E-12
   1.24950004      -6.80103890E-12
   1.25300002      -8.62437639E-12
   1.25650001      -1.04411904E-11
   1.25999999      -1.22439463E-11
   1.26350009      -1.40251118E-11
   1.26700008      -1.57771851E-11
   1.27050006      -1.74927278E-11
   1.27400005      -1.91643888E-11
   1.27750003      -2.07849467E-11
   1.28100002      -2.23473271E-11
   1.28450000      -2.38446363E-11
   1.28799999      -2.52701922E-11
   1.29150009      -2.66175502E-11
   1.29500008      -2.78805295E-11
   1.29850006      -2.90532477E-11
   1.30200005      -3.01301310E-11
   1.30550003      -3.11059511E-11
   1.30900002      -3.19758456E-11
   1.31250000      -3.27353353E-11
   1.31599998      -3.33803540E-11
   1.31950009      -3.39072589E-11
   1.32300007      -3.43128442E-11
   1.32650006      -3.45943725E-11
   1.33000004      -3.47495713E-11
   1.33350003      -3.47766607E-11
   1.33700001      -3.46743537E-11
   1.34050000      -3.44418626E-11
   1.34400010      -3.40789168E-11
   1.34750009      -3.35857557E-11
   1.35100007      -3.29631426E-11
   1.35450006      -3.22123543E-11
   1.35800004      -3.13351810E-11
   1.36150002      -3.03339298E-11
   1.36500001      -2.92114145E-11
   1.36849999      -2.79709519E-11
   1.37200010      -2.66163393E-11
   1.37550008      -2.51518615E-11
   1.37900007      -2.35822594E-11
   1.38250005      -2.19127303E-11
   1.38600004      -2.01488964E-11
   1.38950002      -1.82967964E-11
   1.39300001      -1.63628538E-11
   1.39649999      -1.43538671E-11
   1.40000010      -1.22769728E-11
   1.40350008      -1.01396296E-11
   1.40700006      -7.94958283E-12
   1.41050005      -5.71484223E-12
   1.41400003      -3.44364988E-12
   1.41750002      -1.14444749E-12
   1.42100000       1.17415279E-12
   1.42449999       3.50340286E-12
   1.42800009       5.83445141E-12
   1.43150008       8.15837849E-12
   1.43500006       1.04662312E-11
   1.43850005       1.27490544E-11
   1.44200003       1.49979335E-11
   1.44550002       1.72040229E-11
   1.44900000       1.93585859E-11
   1.45249999       2.14530251E-11
   1.45600009       2.34789254E-11
   1.45950007       2.54280763E-11
   1.46300006       2.72925189E-11
   1.46650004       2.90645702E-11
   1.47000003       3.07368575E-11
   1.47350001       3.23023483E-11
   1.47700000       3.37543916E-11
   1.48050010       3.50867217E-11
   1.48400009       3.62935168E-11
   1.48750007       3.73694027E-11
   1.49100006       3.83094771E-11
   1.49450004       3.91093581E-11
   1.49800003       3.97651669E-11
   1.50150001       4.02735796E-11
   1.50500000       4.06318278E-11
   1.50850010       4.08377152E-11
   1.51200008       4.08896320E-11
   1.51550007       4.07865720E-11
   1.51900005       4.05281295E-11
   1.52250004       4.01145159E-11
   1.52600002       3.95465535E-11
   1.52950001       3.88256892E-11
   1.53299999       3.79539802E-11
   1.53650010       3.69341051E-11
   1.54000008       3.57693458E-11
   1.54350007       3.44635848E-11
   1.54700005       3.30212940E-11
   1.55050004       3.14475286E-11
   1.55400002       2.97478986E-11
   1.55750000       2.79285570E-11
   1.56099999       2.59961896E-11
   1.56450009       2.39579814E-11
   1.56800008       2.18215931E-11
   1.57150006       1.95951432E-11
   1.57500005       1.72871734E-11
   1.57850003       1.49066228E-11
   1.58200002       1.24627930E-11
   1.58550000       9.96531590E-12
   1.58900011       7.42412208E-12
   1.59250009       4.84939996E-12
   1.59600008       2.25156135E-12
   1.59950006      -3.58796949E-13
   1.60300004      -2.97093405E-12
   1.60650003      -5.57400437E-12
   1.61000001      -8.15709913E-12
   1.61350000      -1.07092885E-11
   1.61700010      -1.32196632E-11
   1.62050009      -1.56773761E-11
   1.62400007      -1.80716848E-11
   1.62750006      -2.03919971E-11
   1.63100004      -2.26279117E-11
   1.63450003      -2.47692544E-11
   1.63800001      -2.68061268E-11
   1.64150000      -2.87289480E-11
   1.64500010      -3.05284825E-11
   1.64850008      -3.21958987E-11
   1.65200007      -3.37227815E-11
   1.65550005      -3.51011893E-11
   1.65900004      -3.63236871E-11
   1.66250002      -3.73833603E-11
   1.66600001      -3.82738737E-11
   1.66949999      -3.89894748E-11
   1.67300010      -3.95250464E-11
   1.67650008      -3.98761128E-11
   1.68000007      -4.00388681E-11
   1.68350005      -4.00102070E-11
   1.68700004      -3.97877321E-11
   1.69050002      -3.93697713E-11
   1.69400001      -3.87553913E-11
   1.69750011      -3.79444219E-11
   1.70100009      -3.69374427E-11
   1.70450008      -3.57358032E-11
   1.70800006      -3.43416233E-11
   1.71150005      -3.27577826E-11
   1.71500003      -3.09879344E-11
   1.71850002      -2.90364885E-11
   1.72200000      -2.69086038E-11
   1.72550011      -2.46101819E-11
   1.72900009      -2.21478426E-11
   1.73250008      -1.95289201E-11
   1.73600006      -1.67614291E-11
   1.73950005      -1.38540551E-11
   1.74300003      -1.08161188E-11
   1.74650002      -7.65755428E-12
   1.75000000      -4.38887772E-12
   1.75350010      -1.02115300E-12
   1.75700009       2.43404233E-12
   1.76050007       5.96465368E-12
   1.76400006       9.55818844E-12
   1.76750004       1.32017591E-11
   1.77100003       1.68821224E-11
   1.77450001       2.05857276E-11
   1.77800000       2.42987592E-11
   1.78150010       2.80071886E-11
   1.78500009       3.16968188E-11
   1.78850007       3.53533348E-11
   1.79200006       3.89623507E-11
   1.79550004       4.25094751E-11
   1.79900002       4.59803376E-11
   1.80250001       4.93606683E-11
   1.80600011       5.26363224E-11
   1.80950010       5.57933595E-11
   1.81300008       5.88180754E-11
   1.81650007       6.16970641E-11
   1.82000005       6.44172493E-11
   1.82350004       6.69659675E-11
   1.82700002       6.93309923E-11
   1.83050001       7.15005763E-11
   1.83400011       7.34635339E-11
   1.83750010       7.52092347E-11
   1.84100008       7.67276867E-11
   1.84450006       7.80095641E-11
   1.84800005       7.90462418E-11
   1.85150003       7.98298372E-11
   1.85500002       8.03532518E-11
   1.85850000       8.06101921E-11
   1.86200011       8.05952041E-11
   1.86550009       8.03036942E-11
   1.86900008       7.97319710E-11
   1.87250006       7.88772381E-11
   1.87600005       7.77376566E-11
   1.87950003       7.63123106E-11
   1.88300002       7.46012419E-11
   1.88650000       7.26054772E-11
   1.89000010       7.03269942E-11
   1.89350009       6.77687628E-11
   1.89700007       6.49347173E-11
   1.90050006       6.18297705E-11
   1.90400004       5.84597787E-11
   1.90750003       5.48315733E-11
   1.91100001       5.09529051E-11
   1.91450012       4.68324511E-11
   1.91800010       4.24797836E-11
   1.92150009       3.79053490E-11
   1.92500007       3.31204474E-11
   1.92850006       2.81371836E-11
   1.93200004       2.29684553E-11
   1.93550003       1.76279026E-11
   1.93900001       1.21298752E-11
   1.94250011       6.48939192E-12
