      monx              mony
   0.00000000       4.37645233E-12
   3.50000011E-03  -3.28634385E-12
   7.00000022E-03  -1.08339388E-11
   1.05000008E-02  -1.80642619E-11
   1.40000004E-02  -2.47837757E-11
   1.75000001E-02  -3.08127308E-11
   2.10000016E-02  -3.59900477E-11
   2.45000012E-02  -4.01777014E-11
   2.80000009E-02  -4.32644649E-11
   3.15000005E-02  -4.51689762E-11
   3.50000001E-02  -4.58419379E-11
   3.84999998E-02  -4.52674981E-11
   4.20000032E-02  -4.34636875E-11
   4.55000028E-02  -4.04819823E-11
   4.90000024E-02  -3.64059061E-11
   5.25000021E-02  -3.13487951E-11
   5.60000017E-02  -2.54507509E-11
   5.95000014E-02  -1.88748357E-11
   6.30000010E-02  -1.18026743E-11
   6.65000007E-02  -4.42952229E-12
   7.00000003E-02   3.04103140E-12
   7.34999999E-02   1.04025963E-11
   7.69999996E-02   1.74515957E-11
   8.04999992E-02   2.39928129E-11
   8.40000063E-02   2.98447135E-11
   8.75000060E-02   3.48444086E-11
   9.10000056E-02   3.88521021E-11
   9.45000052E-02   4.17549467E-11
   9.80000049E-02   4.34701372E-11
  0.101500005       4.39472105E-11
  0.105000004       4.31694611E-11
  0.108500004       4.11544583E-11
  0.112000003       3.79535986E-11
  0.115500003       3.36507697E-11
  0.119000003       2.83601111E-11
  0.122500002       2.22229457E-11
  0.126000002       1.54039854E-11
  0.129500002       8.08687405E-12
  0.133000001       4.69218523E-13
  0.136500001      -7.24277149E-12
  0.140000001      -1.48398828E-11
  0.143500000      -2.21155975E-11
  0.147000000      -2.88717140E-11
  0.150500000      -3.49237722E-11
  0.153999999      -4.01060955E-11
  0.157499999      -4.42763326E-11
  0.160999998      -4.73193984E-11
  0.164499998      -4.91506350E-11
  0.168000013      -4.97181948E-11
  0.171500012      -4.90045123E-11
  0.175000012      -4.70268442E-11
  0.178500012      -4.38368855E-11
  0.182000011      -3.95194155E-11
  0.185500011      -3.41900640E-11
  0.189000010      -2.79922422E-11
  0.192500010      -2.10932764E-11
  0.196000010      -1.36799192E-11
  0.199500009      -5.95330512E-12
  0.203000009       1.87648790E-12
  0.206500009       9.59613985E-12
  0.210000008       1.69948795E-11
  0.213500008       2.38702287E-11
  0.217000008       3.00335243E-11
  0.220500007       3.53150773E-11
  0.224000007       3.95688447E-11
  0.227500007       4.26764318E-11
  0.231000006       4.45503946E-11
  0.234500006       4.51366722E-11
  0.238000005       4.44161513E-11
  0.241500005       4.24052390E-11
  0.245000005       3.91555226E-11
  0.248500004       3.47524405E-11
  0.252000004       2.93130312E-11
  0.255500019       2.29828309E-11
  0.259000003       1.59319901E-11
  0.262500018       8.35069514E-12
  0.266000003       4.44052699E-13
  0.269500017      -7.57344881E-12
  0.273000002      -1.54837497E-11
  0.276500016      -2.30711318E-11
  0.280000001      -3.01280910E-11
  0.283500016      -3.64609905E-11
  0.287000000      -4.18953552E-11
  0.290500015      -4.62806703E-11
  0.294000000      -4.94945092E-11
  0.297500014      -5.14459482E-11
  0.300999999      -5.20780988E-11
  0.304500014      -5.13697453E-11
  0.307999998      -4.93359971E-11
  0.311500013      -4.60279904E-11
  0.314999998      -4.15315664E-11
  0.318500012      -3.59650365E-11
  0.321999997      -2.94760397E-11
  0.325500011      -2.22376301E-11
  0.328999996      -1.44436104E-11
  0.332500011      -6.30334153E-12
  0.336000025       1.96391254E-12
  0.339500010       1.01349094E-11
  0.343000025       1.79884857E-11
  0.346500009       2.53115601E-11
  0.350000024       3.19049509E-11
  0.353500009       3.75888071E-11
  0.357000023       4.22075500E-11
  0.360500008       4.56341596E-11
  0.364000022       4.77736913E-11
  0.367500007       4.85659395E-11
  0.371000022       4.79871663E-11
  0.374500006       4.60508263E-11
  0.378000021       4.28073167E-11
  0.381500006       3.83426971E-11
  0.385000020       3.27764378E-11
  0.388500005       2.62582768E-11
  0.392000020       1.89642295E-11
  0.395500004       1.10918774E-11
  0.399000019       2.85506211E-12
  0.402500004      -5.52187506E-12
  0.406000018      -1.38101579E-11
  0.409500003      -2.17827718E-11
  0.413000017      -2.92206363E-11
  0.416500002      -3.59185633E-11
  0.420000017      -4.16908834E-11
  0.423500001      -4.63765207E-11
  0.427000016      -4.98434453E-11
  0.430500001      -5.19923236E-11
  0.434000015      -5.27593282E-11
  0.437500000      -5.21179384E-11
  0.441000015      -5.00797979E-11
  0.444499999      -4.66944712E-11
  0.448000014      -4.20482295E-11
  0.451500028      -3.62618061E-11
  0.455000013      -2.94872078E-11
  0.458500028      -2.19036872E-11
  0.462000012      -1.37129605E-11
  0.465500027      -5.13378185E-12
  0.469000012       3.60392965E-12
  0.472500026       1.22653034E-11
  0.476000011       2.06168763E-11
  0.479500026       2.84329244E-11
  0.483000010       3.55016190E-11
  0.486500025       4.16308099E-11
  0.490000010       4.66532889E-11
  0.493500024       5.04314090E-11
  0.497000009       5.28608927E-11
  0.500500023       5.38737700E-11
  0.504000008       5.34403147E-11
  0.507499993       5.15699670E-11
  0.511000037       4.83112023E-11
  0.514500022       4.37503055E-11
  0.518000007       3.80091653E-11
  0.521499991       3.12420541E-11
  0.525000036       2.36315429E-11
  0.528500021       1.53836353E-11
  0.532000005       6.72224255E-12
  0.535499990      -2.11684034E-12
  0.539000034      -1.08922923E-11
  0.542500019      -1.93638022E-11
  0.546000004      -2.72985870E-11
  0.549499989      -3.44777401E-11
  0.553000033      -4.07022090E-11
  0.556500018      -4.57982437E-11
  0.560000002      -4.96222161E-11
  0.563500047      -5.20645922E-11
  0.567000031      -5.30529995E-11
  0.570500016      -5.25543394E-11
  0.574000001      -5.05757693E-11
  0.577500045      -4.71646576E-11
  0.581000030      -4.24074283E-11
  0.584500015      -3.64273160E-11
  0.588000000      -2.93811607E-11
  0.591500044      -2.14552560E-11
  0.595000029      -1.28603777E-11
  0.598500013      -3.82615944E-12
  0.601999998       5.40508653E-12
  0.605500042       1.45848958E-11
  0.609000027       2.34653737E-11
  0.612500012       3.18059190E-11
  0.615999997       3.93797737E-11
  0.619500041       4.59802162E-11
  0.623000026       5.14262348E-11
  0.626500010       5.55675263E-11
  0.629999995       5.82886517E-11
  0.633500040       5.95123048E-11
  0.637000024       5.92015117E-11
  0.640500009       5.73607932E-11
  0.643999994       5.40361401E-11
  0.647500038       4.93139314E-11
  0.651000023       4.33187201E-11
  0.654500008       3.62099656E-11
  0.657999992       2.81778420E-11
  0.661500037       1.94381750E-11
  0.665000021       1.02266685E-11
  0.668500006       7.92587241E-13
  0.672000051      -8.60796417E-12
  0.675500035      -1.77189652E-11
  0.679000020      -2.62914187E-11
  0.682500005      -3.40901370E-11
  0.686000049      -4.09001617E-11
  0.689500034      -4.65326666E-11
  0.693000019      -5.08301630E-11
  0.696500003      -5.36708872E-11
  0.700000048      -5.49722282E-11
  0.703500032      -5.46930973E-11
  0.707000017      -5.28351841E-11
  0.710500002      -4.94430712E-11
  0.714000046      -4.46031788E-11
  0.717500031      -3.84415416E-11
  0.721000016      -3.11205679E-11
  0.724500000      -2.28347358E-11
  0.728000045      -1.38054403E-11
  0.731500030      -4.27509243E-12
  0.735000014       5.49938567E-12
  0.738499999       1.52534773E-11
  0.742000043       2.47222139E-11
  0.745500028       3.36473592E-11
  0.749000013       4.17844405E-11
  0.752499998       4.89094217E-11
  0.756000042       5.48248599E-11
  0.759500027       5.93653460E-11
  0.763000011       6.24021321E-11
  0.766499996       6.38467196E-11
  0.770000041       6.36534436E-11
  0.773500025       6.18208401E-11
  0.777000010       5.83918816E-11
  0.780499995       5.34529365E-11
  0.784000039       4.71316389E-11
  0.787500024       3.95935298E-11
  0.791000009       3.10377557E-11
  0.794500053       2.16917664E-11
  0.798000038       1.18052625E-11
  0.801500022       1.64351508E-12
  0.805000007      -8.51977256E-12
  0.808500051      -1.84098570E-11
  0.812000036      -2.77583911E-11
  0.815500021      -3.63107357E-11
  0.819000006      -4.38329130E-11
  0.822500050      -5.01180208E-11
  0.826000035      -5.49919589E-11
  0.829500020      -5.83182738E-11
  0.833000004      -6.00020103E-11
  0.836500049      -5.99924277E-11
  0.840000033      -5.82845786E-11
  0.843500018      -5.49195966E-11
  0.847000003      -4.99837775E-11
  0.850500047      -4.36064136E-11
  0.854000032      -3.59564566E-11
  0.857500017      -2.72381024E-11
  0.861000001      -1.76853861E-11
  0.864500046      -7.55595846E-12
  0.868000031       2.87580441E-12
  0.871500015       1.33261726E-11
  0.875000000       2.35097185E-11
  0.878500044       3.31470545E-11
  0.882000029       4.19724221E-11
  0.885500014       4.97409613E-11
  0.888999999       5.62354434E-11
  0.892500043       6.12722581E-11
  0.896000028       6.47065526E-11
  0.899500012       6.64362940E-11
  0.903000057       6.64052355E-11
  0.906500041       6.46046411E-11
  0.910000026       6.10736947E-11
  0.913500011       5.58986572E-11
  0.917000055       4.92107396E-11
  0.920500040       4.11827066E-11
  0.924000025       3.20244040E-11
  0.927500010       2.19771996E-11
  0.931000054       1.13075998E-11
  0.934500039       3.00117949E-13
  0.938000023      -1.07503546E-11
  0.941500008      -2.15464972E-11
  0.945000052      -3.17966105E-11
  0.948500037      -4.12225393E-11
  0.952000022      -4.95672843E-11
  0.955500007      -5.66020564E-11
  0.959000051      -6.21325907E-11
  0.962500036      -6.60045768E-11
  0.966000021      -6.81080123E-11
  0.969500005      -6.83803916E-11
  0.973000050      -6.68085864E-11
  0.976500034      -6.34294492E-11
  0.980000019      -5.83290083E-11
  0.983500004      -5.16403934E-11
  0.987000048      -4.35404005E-11
  0.990500033      -3.42449159E-11
  0.994000018      -2.40032386E-11
  0.997500002      -1.30914767E-11
   1.00100005      -1.80517602E-12
   1.00450003       9.54859716E-12
   1.00800002       2.06595279E-11
   1.01150000       3.12224517E-11
   1.01499999       4.09456566E-11
   1.01850009       4.95588397E-11
   1.02200007       5.68205483E-11
   1.02550006       6.25248603E-11
   1.02900004       6.65071331E-11
   1.03250003       6.86486631E-11
   1.03600001       6.88801099E-11
   1.03950000       6.71836267E-11
   1.04299998       6.35936026E-11
   1.04650009       5.81959550E-11
   1.05000007       5.11260582E-11
   1.05350006       4.25653297E-11
   1.05700004       3.27365184E-11
   1.06050003       2.18978828E-11
   1.06400001       1.03363585E-11
   1.06750000      -1.64007404E-12
   1.07099998      -1.37106342E-11
   1.07450008      -2.55503691E-11
   1.07800007      -3.68389416E-11
   1.08150005      -4.72693239E-11
   1.08500004      -5.65562042E-11
   1.08850002      -6.44438045E-11
   1.09200001      -7.07129771E-11
   1.09549999      -7.51873078E-11
   1.09899998      -7.77381423E-11
   1.10250008      -7.82882786E-11
   1.10600007      -7.68143604E-11
   1.10950005      -7.33477307E-11
   1.11300004      -6.79739251E-11
   1.11650002      -6.08305767E-11
   1.12000000      -5.21039947E-11
   1.12349999      -4.20243389E-11
   1.12700009      -3.08596308E-11
   1.13050008      -1.89086680E-11
   1.13400006      -6.49310467E-12
   1.13750005       6.05115610E-12
   1.14100003       1.83829861E-11
   1.14450002       3.01652522E-11
   1.14800000       4.10739706E-11
   1.15149999       5.08071571E-11
   1.15500009       5.90931401E-11
   1.15850008       6.56980720E-11
   1.16200006       7.04324793E-11
   1.16550004       7.31566335E-11
   1.16900003       7.37846104E-11
   1.17250001       7.22869126E-11
   1.17600000       6.86916010E-11
   1.17949998       6.30838021E-11
   1.18300009       5.56037716E-11
   1.18650007       4.64433665E-11
   1.19000006       3.58411495E-11
   1.19350004       2.40761768E-11
   1.19700003       1.14606805E-11
   1.20050001      -1.66821992E-12
   1.20400000      -1.49575005E-11
   1.20749998      -2.80477100E-11
   1.21100008      -4.05826692E-11
   1.21450007      -5.22191491E-11
   1.21800005      -6.26362226E-11
   1.22150004      -7.15441179E-11
   1.22500002      -7.86922194E-11
   1.22850001      -8.38761074E-11
   1.23199999      -8.69433484E-11
   1.23550010      -8.77979356E-11
   1.23900008      -8.64032387E-11
   1.24250007      -8.27833149E-11
   1.24600005      -7.70226313E-11
   1.24950004      -6.92641569E-11
   1.25300002      -5.97057959E-11
   1.25650001      -4.85953951E-11
   1.25999999      -3.62243117E-11
   1.26350009      -2.29197824E-11
   1.26700008      -9.03628908E-12
   1.27050006       5.05389047E-12
   1.27400005       1.89706514E-11
   1.27750003       3.23363072E-11
   1.28100002       4.47858486E-11
   1.28450000       5.59768898E-11
   1.28799999       6.55990956E-11
   1.29150009       7.33827860E-11
   1.29500008       7.91064991E-11
   1.29850006       8.26032714E-11
   1.30200005       8.37655501E-11
   1.30550003       8.25484334E-11
   1.30900002       7.89713017E-11
   1.31250000       7.31177341E-11
   1.31599998       6.51336068E-11
   1.31950009       5.52235861E-11
   1.32300007       4.36459445E-11
   1.32650006       3.07059170E-11
   1.33000004       1.67477473E-11
   1.33350003       2.14561745E-12
   1.33700001      -1.27062935E-11
   1.34050000      -2.74043444E-11
   1.34400010      -4.15463081E-11
   1.34750009      -5.47422663E-11
   1.35100007      -6.66252609E-11
   1.35450006      -7.68613784E-11
   1.35800004      -8.51590257E-11
   1.36150002      -9.12770901E-11
   1.36500001      -9.50318643E-11
   1.36849999      -9.63023480E-11
   1.37200010      -9.50340154E-11
   1.37550008      -9.12407233E-11
   1.37900007      -8.50048018E-11
   1.38250005      -7.64753399E-11
   1.38600004      -6.58645777E-11
   1.38950002      -5.34426357E-11
   1.39300001      -3.95305975E-11
   1.39649999      -2.44921774E-11
