	monx   mony
           1  1.00000000
           2  0.951860666
           3  0.910293460
           4  0.875214696
           5  0.837370992
           6  0.802654266
           7  0.784282804
           8  0.764700711
           9  0.757875502
          10  0.755873024
          11  0.745751083
          12  0.740609825
          13  0.736676097
          14  0.733383596
          15  0.731883705
          16  0.725735962
          17  0.723213315
          18  0.720363498
          19  0.718343675
          20  0.714861453
          21  0.713068962
          22  0.710384667
          23  0.708555102
          24  0.705743134
          25  0.704355180
          26  0.703903675
          27  0.701721549
          28  0.698346376
          29  0.696649253
          30  0.694657981
