           monx   mony
          61   1.00000000
          62  0.987536192
          63  0.979848742
          64  0.973246217
          65  0.968574882
          66  0.966505587
          67  0.927466750
          68  0.914949417
          69  0.907225668
          70  0.900664747
          71  0.894109905
          72  0.890574396
          73  0.886094570
          74  0.882290363
          75  0.880361795
          76  0.877255082
          77  0.858517826
          78  0.852553606
          79  0.847248733
          80  0.842977524
