order       nzv         total        ratio
1        1600      160000   9.99999978E-03
2        2800      360000   7.77777797E-03
3        4400      640000   6.87499996E-03
4        5600     1000000   5.59999980E-03
5        7200     1440000   4.99999989E-03
6        8400     1960000   4.28571412E-03
7       10000     2560000   3.90625000E-03
8       11200     3240000   3.45679023E-03
9       12800     4000000   3.19999992E-03
10       14000     4840000   2.89256196E-03
11       15600     5760000   2.70833331E-03
12       16800     6760000   2.48520705E-03
13       18400     7840000   2.34693871E-03
14       19600     9000000   2.17777770E-03
15       21200    10240000   2.07031239E-03
16       22400    11560000   1.93771627E-03
17       24000    12960000   1.85185182E-03
18       25200    14440000   1.74515240E-03
19       26800    16000000   1.67499995E-03
20       28000    17640000   1.58730161E-03
