	monx                     mony
-1.6989700043360187       -2.6972532164853056     
  -1.7923916894982539       -2.9130439190423920     
  -1.8864907251724818       -3.3173718958972112     
  -1.9822712330395684       -3.5530010400390450     
  -2.0791812460476251       -3.8720648727832470     
  -2.1760912590556813       -4.1957722284691501     
  -2.2718416065364990       -4.4808416398710387     
  -2.3673559210260189       -4.6886726098256561     
  -2.4638929889859074       -5.1104225237036154     
  -2.5599066250361124       -5.4524285087817761     
  -2.6560982020128319       -5.7784627234699650     
  -2.7528164311882715       -5.8880324419837278     
  -2.8494194137968996       -6.3108684906843653     
  -2.9459607035775686       -6.8356923243838468     
