        monx                      mony
  -1.6989700043360187       -3.6951158330428981     
  -1.7923916894982539       -4.0716703452941125     
  -1.8864907251724818       -4.4036962261112418     
  -1.9822712330395684       -4.7357515909200263     
  -2.0791812460476251       -4.9246283652085863     
  -2.1760912590556813       -5.1458755565238095     
  -2.2718416065364990       -5.4266220708926660     
  -2.3673559210260189       -5.7405061454010831     
  -2.4638929889859074       -6.0999476416466853     
  -2.5599066250361124       -6.5153943404861989     
  -2.6560982020128319       -6.9472436668273243     
  -2.7528164311882715       -7.4128093731997042     
  -2.8494194137968996       -7.9136967880506948     
  -2.9459607035775686       -8.3792211046097265     
