order       nzv         total        ratio
1        1600      160000   9.99999978E-03
2        3000      360000   8.33333377E-03
3        4800      640000   7.49999983E-03
4        7000     1000000   7.00000022E-03
5        9600     1440000   6.66666683E-03
6       12600     1960000   6.42857142E-03
7       16000     2560000   6.25000009E-03
8       19800     3240000   6.11111103E-03
9       24000     4000000   6.00000005E-03
10       28600     4840000   5.90909086E-03
11       33600     5760000   5.83333336E-03
12       39000     6760000   5.76923089E-03
13       44800     7840000   5.71428565E-03
14       51000     9000000   5.66666666E-03
15       57600    10240000   5.62500022E-03
16       63878    11560000   5.52577851E-03
17       71890    12960000   5.54706808E-03
18       79698    14440000   5.51925227E-03
19       87988    16000000   5.49924979E-03
20       96466    17640000   5.46859391E-03
