	monx   mony
           10   1000
           20   1000
           30   1000
           40   1000
           50   1000
           60   1000
           70   1000
           80   1000
           90   1000
          100   1000
          110   1000
          120   1000
          130   1000
          140   1000
          150   1000
          160   1000
          170   1000
          180   1000
          190   1000
          200   1000
          210   1000
          220   1000
          230   1000
          240   1000
          250   1000
          260   1000
          270   1000
          280   1000
          290   1000
          300   1000
          310   1000
          320   1000
          330   1000
          340   1200
          350   1200
          360   1200
          370   1200
          380   1200
          390   1200
          400   1200
          410   1200
          420   1200
          430   1200
          440   1200
          450   1200
          460   1200
          470   1200
          480   1200
          490   1200
          500   1200
          510   1200
          520   1200
          530   1200
          540   1200
          550   1200
          560   1200
          570   1200
          580   1200
          590   1200
          600   1200
          610   1200
          620   1200
          630   1200
          640   1200
          650   1200
          660   1200
          670   1200
          680   1200
          690   1200
          700   1200
          710   1200
          720   1200
          730   1200
          740   1200
          750   1200
          760   1200
          770   1200
          780   1200
          790   1200
          800   1200
          810   1200
          820   1200
          830   1200
          840   1200
          850   1200
          860   1200
          870   1200
          880   1200
          890   1200
          900   1200
          910   1200
          920   1200
          930   1200
          940   1200
          950   1200
          960   1200
          970   1200
          980   1200
          990   1200
         1000   1200
