           monx      mony   monz
           1   4.76138637E-04   1.00000000
           2   4.66483441E-04   1.00000000
           3   4.66032332E-04   1.00000000
           4   4.66134195E-04   1.00000000
           5   4.66381578E-04   1.00000000
           6   4.66265163E-04   1.00000000
           7   4.66323370E-04   1.00000000
           8   4.66294267E-04   1.00000000
           9   4.66156023E-04   1.00000000
          10   4.66286991E-04   1.00000000
          11   4.66068712E-04   1.00000000
          12   4.66301542E-04   1.00000000
          13   4.65915917E-04   1.00000000
          14   4.66272439E-04   1.00000000
          15   4.66250611E-04   1.00000000
          16   4.66214231E-04   1.00000000
          17   4.66425234E-04   1.00000000
          18   4.66192403E-04   1.00000000
          19   4.66046884E-04   1.00000000
          20   4.65981400E-04   1.00000000
          21   4.66090540E-04   1.00000000
          22   4.65988676E-04   1.00000000
          23   4.66367026E-04   1.00000000
          24   4.66097816E-04   1.00000000
          25   4.66199679E-04   1.00000000
          26   4.65988676E-04   1.00000000
          27   4.66228783E-04   1.00000000
          28   4.66090540E-04   1.00000000
          29   4.66010504E-04   1.00000000
          30   5.09149686E-04   1.00000000
          31   5.13464329E-04   1.00000000
          32   3.82882688E-04   1.00000000
          33   1.41772034E-04   1.00000000
          34  -1.42295903E-04   1.00000000
          35  -3.83770355E-04   1.00000000
          36  -5.14308340E-04   1.00000000
          37  -5.10364771E-04   1.00000000
          38  -3.95601062E-04   1.00000000
          39  -2.25139942E-04   1.00000000
          40  -5.81712775E-05   1.00000000
          41   6.48578862E-05   1.00000000
          42   1.28857209E-04   1.00000000
          43   1.41997589E-04   1.00000000
          44   1.23334758E-04   1.00000000
          45   9.10949821E-05   1.00000000
          46   5.93427067E-05   1.00000000
          47   3.48300091E-05   1.00000000
          48   1.85900717E-05   1.00000000
          49   8.51287041E-06   1.00000000
          50   3.50701134E-06   1.00000000
          51   6.03904425E-07   1.00000000
          52  -2.40106601E-07   1.00000000
          53  -5.67524694E-07   1.00000000
          54  -7.63975493E-07   1.00000000
          55  -8.87666772E-07   1.00000000
          56  -6.69388044E-07   1.00000000
          57  -6.76664001E-07   1.00000000
          58  -9.74978320E-07   1.00000000
          59  -5.74800652E-07   1.00000000
          60  -6.76664001E-07   1.00000000
          61  -8.22183154E-07   1.00000000
          62  -9.60426405E-07   1.00000000
          63  -7.63975493E-07   1.00000000
          64  -9.09494645E-07   1.00000000
          65  -8.51286984E-07   1.00000000
          66  -8.00355281E-07   1.00000000
          67  -7.49423577E-07   1.00000000
          68  -7.34871662E-07   1.00000000
          69  -8.73114857E-07   1.00000000
          70  -9.60426405E-07   1.00000000
          71  -7.05767832E-07   1.00000000
          72  -8.73114857E-07   1.00000000
          73  -6.76664001E-07   1.00000000
          74  -8.94942730E-07   1.00000000
          75  -7.78527408E-07   1.00000000
          76  -8.58562942E-07   1.00000000
          77  -1.05501385E-06   1.00000000
          78  -1.01863407E-06   1.00000000
          79  -6.83939959E-07   1.00000000
          80  -6.69388044E-07   1.00000000
          81  -8.00355281E-07   1.00000000
          82  -6.54836128E-07   1.00000000
          83  -6.83939959E-07   1.00000000
          84  -8.44011026E-07   1.00000000
          85  -6.69388044E-07   1.00000000
          86  -9.96806193E-07   1.00000000
          87  -7.71251450E-07   1.00000000
          88  -8.29459111E-07   1.00000000
          89  -9.02218687E-07   1.00000000
          90  -8.94942730E-07   1.00000000
          91  -8.65838899E-07   1.00000000
          92  -6.11180383E-07   1.00000000
          93  -6.91215917E-07   1.00000000
          94  -8.44011026E-07   1.00000000
          95  -8.80390814E-07   1.00000000
          96  -8.51286984E-07   1.00000000
          97  -8.87666772E-07   1.00000000
          98  -8.22183154E-07   1.00000000
          99  -7.49423577E-07   1.00000000
         100  -9.67702363E-07   1.00000000
