       monx        mony           monz
           1   4.61821823E-04   1.00000000
           2   4.61822317E-04   1.00000000
           3   4.61822376E-04   1.00000000
           4   4.61822405E-04   1.00000000
           5   4.61822492E-04   1.00000000
           6   4.61821968E-04   1.00000000
           7   4.61822085E-04   1.00000000
           8   4.61821764E-04   1.00000000
           9   4.61821735E-04   1.00000000
          10   4.61821823E-04   1.00000000
          11   4.61821444E-04   1.00000000
          12   4.61821823E-04   1.00000000
          13   4.61821735E-04   1.00000000
          14   4.61821881E-04   1.00000000
          15   4.61821968E-04   1.00000000
          16   4.61821997E-04   1.00000000
          17   4.61821823E-04   1.00000000
          18   4.61821823E-04   1.00000000
          19   4.61821997E-04   1.00000000
          20   4.61821968E-04   1.00000000
          21   4.61821881E-04   1.00000000
          22   4.61822114E-04   1.00000000
          23   4.61822085E-04   1.00000000
          24   4.61821415E-04   1.00000000
          25   4.61823016E-04   1.00000000
          26   4.61843563E-04   1.00000000
          27   4.61917953E-04   1.00000000
          28   4.61836724E-04   1.00000000
          29   4.60684096E-04   1.00000000
          30   5.23883442E-04   1.00000000
          31   5.03522169E-04   1.00000000
          32   3.89695342E-04   1.00000000
          33   1.64252648E-04   1.00000000
          34  -1.10679495E-04   1.00000000
          35  -3.52217088E-04   1.00000000
          36  -4.91318177E-04   1.00000000
          37  -4.99839953E-04   1.00000000
          38  -3.96988355E-04   1.00000000
          39  -2.34293897E-04   1.00000000
          40  -6.97665455E-05   1.00000000
          41   5.45051626E-05   1.00000000
          42   1.22102356E-04   1.00000000
          43   1.38925476E-04   1.00000000
          44   1.22666519E-04   1.00000000
          45   9.21987667E-05   1.00000000
          46   6.11917421E-05   1.00000000
          47   3.65351771E-05   1.00000000
          48   1.98386588E-05   1.00000000
          49   9.86594114E-06   1.00000000
          50   4.51523510E-06   1.00000000
          51   1.90826154E-06   1.00000000
          52   7.46574472E-07   1.00000000
          53   2.70701008E-07   1.00000000
          54   9.07726374E-08   1.00000000
          55   2.78040861E-08   1.00000000
          56   7.48180451E-09   1.00000000
          57   1.67101333E-09   1.00000000
          58   5.34290112E-10   1.00000000
          59   7.79099119E-10   1.00000000
          60   1.26386313E-09   1.00000000
          61   1.55946256E-09   1.00000000
          62   1.53029234E-09   1.00000000
          63   1.19266064E-09   1.00000000
          64   6.34206798E-10   1.00000000
          65  -3.21218399E-11   1.00000000
          66  -6.79623136E-10   1.00000000
          67  -1.16915411E-09   1.00000000
          68  -1.37058187E-09   1.00000000
          69  -1.21154875E-09   1.00000000
          70  -7.28095584E-10   1.00000000
          71  -7.43726122E-11   1.00000000
          72   5.36133360E-10   1.00000000
          73   9.34911148E-10   1.00000000
          74   1.07580389E-09   1.00000000
          75   1.02434816E-09   1.00000000
          76   8.76560047E-10   1.00000000
          77   6.92992330E-10   1.00000000
          78   5.08566689E-10   1.00000000
          79   3.84354659E-10   1.00000000
          80   4.15668333E-10   1.00000000
          81   6.61977861E-10   1.00000000
          82   1.05819331E-09   1.00000000
          83   1.39709444E-09   1.00000000
          84   1.41245249E-09   1.00000000
          85   9.11752618E-10   1.00000000
          86  -1.17678325E-10   1.00000000
          87  -1.47273949E-09   1.00000000
          88  -2.77523937E-09   1.00000000
          89  -3.58154750E-09   1.00000000
          90  -3.54114427E-09   1.00000000
          91  -2.55365418E-09   1.00000000
          92  -8.50970738E-10   1.00000000
          93   1.04881170E-09   1.00000000
          94   2.51257393E-09   1.00000000
          95   3.02835979E-09   1.00000000
          96   2.41212894E-09   1.00000000
          97   8.88152052E-10   1.00000000
          98  -1.00637654E-09   1.00000000
          99  -2.64826672E-09   1.00000000
         100  -3.56537644E-09   1.00000000
