          monx    mony         monz
           1   4.63014323E-04   1.00000000
           2   4.63015487E-04   1.00000000
           3   4.63015283E-04   1.00000000
           4   4.63015313E-04   1.00000000
           5   4.63015866E-04   1.00000000
           6   4.63015225E-04   1.00000000
           7   4.63016186E-04   1.00000000
           8   4.63016186E-04   1.00000000
           9   4.63016564E-04   1.00000000
          10   4.63016477E-04   1.00000000
          11   4.63016360E-04   1.00000000
          12   4.63017146E-04   1.00000000
          13   4.63017175E-04   1.00000000
          14   4.63018077E-04   1.00000000
          15   4.63017554E-04   1.00000000
          16   4.63017699E-04   1.00000000
          17   4.63017961E-04   1.00000000
          18   4.63017379E-04   1.00000000
          19   4.63018048E-04   1.00000000
          20   4.63018339E-04   1.00000000
          21   4.63018543E-04   1.00000000
          22   4.63018339E-04   1.00000000
          23   4.63018980E-04   1.00000000
          24   4.63019038E-04   1.00000000
          25   4.63019678E-04   1.00000000
          26   4.63020435E-04   1.00000000
          27   4.63017204E-04   1.00000000
          28   4.62990720E-04   1.00000000
          29   4.63001372E-04   1.00000000
          30   5.07986697E-04   1.00000000
          31   5.16525237E-04   1.00000000
          32   3.90359259E-04   1.00000000
          33   1.51733679E-04   1.00000000
          34  -1.32576912E-04   1.00000000
          35  -3.76916316E-04   1.00000000
          36  -5.12155588E-04   1.00000000
          37  -5.12482831E-04   1.00000000
          38  -4.00519260E-04   1.00000000
          39  -2.30696969E-04   1.00000000
          40  -6.24101594E-05   1.00000000
          41   6.24456516E-05   1.00000000
          42   1.28595420E-04   1.00000000
          43   1.43243145E-04   1.00000000
          44   1.25010542E-04   1.00000000
          45   9.31777322E-05   1.00000000
          46   6.14232122E-05   1.00000000
          47   3.64578373E-05   1.00000000
          48   1.96914152E-05   1.00000000
          49   9.74440900E-06   1.00000000
          50   4.43886938E-06   1.00000000
          51   1.86773684E-06   1.00000000
          52   7.27776353E-07   1.00000000
          53   2.63024958E-07   1.00000000
          54   8.80428104E-08   1.00000000
          55   2.69320228E-08   1.00000000
          56   7.10641235E-09   1.00000000
          57   1.30893385E-09   1.00000000
          58   1.42148654E-10   1.00000000
          59   5.20293308E-10   1.00000000
          60   1.34272793E-09   1.00000000
          61   2.07914619E-09   1.00000000
          62   2.40105869E-09   1.00000000
          63   2.14078066E-09   1.00000000
          64   1.32177125E-09   1.00000000
          65   1.58753108E-10   1.00000000
          66  -1.01212549E-09   1.00000000
          67  -1.85624349E-09   1.00000000
          68  -2.16055684E-09   1.00000000
          69  -1.89926608E-09   1.00000000
          70  -1.22687815E-09   1.00000000
          71  -4.05696587E-10   1.00000000
          72   3.07788545E-10   1.00000000
          73   7.69511566E-10   1.00000000
          74   9.84035187E-10   1.00000000
          75   1.04460107E-09   1.00000000
          76   1.03208397E-09   1.00000000
          77   9.69891722E-10   1.00000000
          78   8.70743810E-10   1.00000000
          79   8.02357458E-10   1.00000000
          80   8.69897265E-10   1.00000000
          81   1.11050180E-09   1.00000000
          82   1.40915224E-09   1.00000000
          83   1.53505697E-09   1.00000000
          84   1.27288502E-09   1.00000000
          85   5.34142452E-10   1.00000000
          86  -6.17582263E-10   1.00000000
          87  -1.99192973E-09   1.00000000
          88  -3.29934613E-09   1.00000000
          89  -4.20380841E-09   1.00000000
          90  -4.44318138E-09   1.00000000
          91  -3.97168964E-09   1.00000000
          92  -3.00141112E-09   1.00000000
          93  -1.88030036E-09   1.00000000
          94  -8.91211493E-10   1.00000000
          95  -1.24947899E-10   1.00000000
          96   4.99110531E-10   1.00000000
          97   1.11660092E-09   1.00000000
          98   1.80438942E-09   1.00000000
          99   2.52628030E-09   1.00000000
         100   3.14240745E-09   1.00000000
