density velocity vtkValidPointMask arc_length Points:0 Points:1 Points:2
1 1613 1 26.982 4500 0 27.982
1 1572.4 1 56.962 4500 0 57.962
1 1530.1 1 86.942 4500 0 87.942
1 1530.1 1 116.92 4500 0 117.92
1 1641.4 1 146.9 4500 0 147.9
1 1589.2 1 176.88 4500 0 177.88
1 1589.2 1 206.86 4500 0 207.86
1 1618.1 1 236.84 4500 0 237.84
1 1618.1 1 266.82 4500 0 267.82
1 1722 1 296.8 4500 0 297.8
1 1758.9 1 326.78 4500 0 327.78
1 1784.4 1 356.76 4500 0 357.76
1 1800.6 1 386.74 4500 0 387.74
1 1712.7 1 416.72 4500 0 417.72
1 1641.5 1 446.7 4500 0 447.7
1 1638 1 476.68 4500 0 477.68
1 1638 1 506.66 4500 0 507.66
1 1856.1 1 536.64 4500 0 537.64
1 1856.1 1 566.62 4500 0 567.62
1 2127.8 1 596.6 4500 0 597.6
1 2127.8 1 626.58 4500 0 627.58
1 2348 1 656.56 4500 0 657.56
1 2348 1 686.54 4500 0 687.54
1 2235.2 1 716.52 4500 0 717.52
1 2235.2 1 746.5 4500 0 747.5
1 2393.5 1 776.48 4500 0 777.48
1 2773.3 1 806.46 4500 0 807.46
1 2708.5 1 836.44 4500 0 837.44
1 2673.2 1 866.42 4500 0 867.42
1 2673.2 1 896.4 4500 0 897.4
1 2272.1 1 926.38 4500 0 927.38
1 2252.9 1 956.36 4500 0 957.36
1 2320.9 1 986.34 4500 0 987.34
1 2320.9 1 1016.3 4500 0 1017.3
1 2416.8 1 1046.3 4500 0 1047.3
1 2305.4 1 1076.3 4500 0 1077.3
1 2305.4 1 1106.3 4500 0 1107.3
1 2305.4 1 1136.2 4500 0 1137.2
1 2573.5 1 1166.2 4500 0 1167.2
1 2484.2 1 1196.2 4500 0 1197.2
1 2484.2 1 1226.2 4500 0 1227.2
1 2709.7 1 1256.2 4500 0 1257.2
1 2672.8 1 1286.1 4500 0 1287.1
1 2484 1 1316.1 4500 0 1317.1
1 2484 1 1346.1 4500 0 1347.1
1 2442.8 1 1376.1 4500 0 1377.1
1 2971.1 1 1406.1 4500 0 1407.1
1 2971.1 1 1436 4500 0 1437
1 2884.5 1 1466 4500 0 1467
1 4059.3 1 1496 4500 0 1497
1 3337.4 1 1526 4500 0 1527
1 3337.4 1 1556 4500 0 1557
1 2743.9 1 1585.9 4500 0 1586.9
1 2743.9 1 1615.9 4500 0 1616.9
1 2724.9 1 1645.9 4500 0 1646.9
1 2754.1 1 1675.9 4500 0 1676.9
1 2754.1 1 1705.9 4500 0 1706.9
1 2692.8 1 1735.8 4500 0 1736.8
1 2919.2 1 1765.8 4500 0 1766.8
1 2919.2 1 1795.8 4500 0 1796.8
1 2511.9 1 1825.8 4500 0 1826.8
1 2376.3 1 1855.8 4500 0 1856.8
1 2376.3 1 1885.7 4500 0 1886.7
1 2707.2 1 1915.7 4500 0 1916.7
1 3194.9 1 1945.7 4500 0 1946.7
1 2842.9 1 1975.7 4500 0 1976.7
1 2842.9 1 2005.7 4500 0 2006.7
1 3024.2 1 2035.6 4500 0 2036.6
1 3024.2 1 2065.6 4500 0 2066.6
1 3435.3 1 2095.6 4500 0 2096.6
1 3427.7 1 2125.6 4500 0 2126.6
1 3427.7 1 2155.6 4500 0 2156.6
1 3412.2 1 2185.5 4500 0 2186.5
1 3412.2 1 2215.5 4500 0 2216.5
1 3372.2 1 2245.5 4500 0 2246.5
1 3232.2 1 2275.5 4500 0 2276.5
1 3232.2 1 2305.5 4500 0 2306.5
1 3232.2 1 2335.4 4500 0 2336.4
1 3380 1 2365.4 4500 0 2366.4
1 3344.9 1 2395.4 4500 0 2396.4
1 3344.9 1 2425.4 4500 0 2426.4
1 3522.2 1 2455.4 4500 0 2456.4
1 4483.8 1 2485.3 4500 0 2486.3
1 3925.7 1 2515.3 4500 0 2516.3
1 3925.7 1 2545.3 4500 0 2546.3
1 3925.7 1 2575.3 4500 0 2576.3
1 3155.6 1 2605.3 4500 0 2606.3
1 3047.9 1 2635.2 4500 0 2636.2
1 3047.9 1 2665.2 4500 0 2666.2
1 3047.9 1 2695.2 4500 0 2696.2
1 2803.4 1 2725.2 4500 0 2726.2
1 3104 1 2755.2 4500 0 2756.2
1 3104 1 2785.1 4500 0 2786.1
1 3340.6 1 2815.1 4500 0 2816.1
1 3340.6 1 2845.1 4500 0 2846.1
1 3340.6 1 2875.1 4500 0 2876.1
1 2483.2 1 2905.1 4500 0 2906.1
1 2762.5 1 2935 4500 0 2936
1 2762.5 1 2965 4500 0 2966
1 2762.5 1 2995 4500 0 2996
