t                         x y
0.0                       0 0.0
0.0026                    1 0.0
0.0052                    2 0.0
0.0078                    3 0.0
0.0104                    4 0.0
0.013                     5 0.0
0.0156                    6 0.0
0.0182                    7 0.0
0.0208                    8 0.0
0.023399999999999997      9 0.0
0.026                     10 0.0
0.0286                    11 0.0
0.0312                    12 0.0
0.0338                    13 0.0
0.0364                    14 0.0
0.039                     15 0.0
0.0416                    16 0.0
0.044199999999999996      17 0.0
0.046799999999999994      18 0.0
0.0494                    19 0.0
0.052                     20 0.0
0.054599999999999996      21 0.0
0.0572                    22 0.0
0.0598                    23 0.0
0.0624                    24 0.0
0.065                     25 0.0
0.0676                    26 0.0
0.0702                    27 0.0
0.0728                    28 0.0
0.0754                    29 0.0
0.078                     30 0.0
0.08059999999999999       31 0.0
0.0832                    32 0.0
0.0858                    33 0.0
0.08839999999999999       34 0.0
0.091                     35 0.0
0.09359999999999999       36 0.0
0.0962                    37 0.0
0.0988                    38 0.0
0.10139999999999999       39 0.0
0.104                     40 0.0
0.1066                    41 0.0
0.10919999999999999       42 0.0
0.1118                    43 0.0
0.1144                    44 0.0
0.11699999999999999       45 0.0
0.1196                    46 0.0
0.12219999999999999       47 0.0
0.1248                    48 0.0
0.12739999999999999       49 0.0
0.13                      50 0.0
0.1326                    51 0.0
0.1352                    52 0.0
0.1378                    53 0.0
0.1404                    54 0.0
0.143                     55 0.0
0.1456                    56 0.0
0.1482                    57 0.0
0.1508                    58 0.0
0.15339999999999998       59 0.0
0.156                     60 0.0
0.1586                    61 0.0
0.16119999999999998       62 0.0
0.1638                    63 0.0
0.1664                    64 0.0
0.16899999999999998       65 0.0
0.1716                    66 0.0
0.1742                    67 0.0
0.17679999999999998       68 0.0
0.1794                    69 0.0
0.182                     70 0.0
0.1846                    71 0.0
0.18719999999999998       72 0.0
0.1898                    73 0.0
0.1924                    74 0.0
0.19499999999999998       75 0.0
0.1976                    76 0.0
0.2002                    77 0.0
0.20279999999999998       78 0.0
0.2054                    79 0.0
0.208                     80 0.0
0.21059999999999998       81 0.0
0.2132                    82 0.0
0.2158                    83 0.0
0.21839999999999998       84 0.0
0.221                     85 0.0
0.2236                    86 0.0
0.22619999999999998       87 0.0
0.2288                    88 0.0
0.2314                    89 0.0
0.23399999999999999       90 0.0
0.23659999999999998       91 0.0
0.2392                    92 0.0
0.2418                    93 0.0
0.24439999999999998       94 0.0
0.247                     95 0.0
0.2496                    96 0.0
0.2522                    97 0.0
0.25479999999999997       98 0.0
0.25739999999999996       99 0.0
0.26                      100 0.0
0.2626                    101 0.0
0.2652                    102 0.0
0.2678                    103 0.0
0.2704                    104 0.0
0.27299999999999996       105 0.0
0.2756                    106 0.0
0.2782                    107 0.0
0.2808                    108 0.0
0.2834                    109 0.0
0.286                     110 0.0
0.28859999999999997       111 0.0
0.2912                    112 0.0
0.2938                    113 0.0
0.2964                    114 0.0
0.299                     115 0.0
0.3016                    116 0.0
0.30419999999999997       117 0.0
0.30679999999999996       118 0.0
0.3094                    119 0.0
0.312                     120 0.0
0.3146                    121 0.0
0.3172                    122 0.0
0.3198                    123 0.0
0.32239999999999996       124 0.0
0.325                     125 0.0
0.3276                    126 0.0
0.3302                    127 0.0
0.3328                    128 0.0
0.3354                    129 0.0
0.33799999999999997       130 0.0
0.34059999999999996       131 0.0
0.3432                    132 0.0
0.3458                    133 0.0
0.3484                    134 0.0
0.351                     135 0.0
0.35359999999999997       136 0.0
0.35619999999999996       137 0.0
0.3588                    138 0.0
0.3614                    139 0.0
0.364                     140 0.0
0.3666                    141 0.0
0.3692                    142 0.0
0.37179999999999996       143 0.0
0.37439999999999996       144 0.0
0.377                     145 0.0
0.3796                    146 0.0
0.3822                    147 0.0
0.3848                    148 0.0
0.38739999999999997       149 0.0
0.38999999999999996       150 0.0
0.3926                    151 0.0
0.3952                    152 0.0
0.3978                    153 0.0
0.4004                    154 0.0
0.40299999999999997       155 0.0
0.40559999999999996       156 0.0
0.4082                    157 0.0
0.4108                    158 0.0
0.4134                    159 0.0
0.416                     160 0.0
0.41859999999999997       161 0.0
0.42119999999999996       162 0.0
0.42379999999999995       163 0.0
0.4264                    164 0.0
0.429                     165 0.0
0.4316                    166 0.0
0.4342                    167 0.0
0.43679999999999997       168 0.0
0.43939999999999996       169 0.0
0.442                     170 0.0
0.4446                    171 0.0
0.4472                    172 0.0
0.4498                    173 0.0
0.45239999999999997       174 0.0
0.45499999999999996       175 0.0
0.4576                    176 0.0
0.4602                    177 0.0
0.4628                    178 0.0
0.4654                    179 0.0
0.46799999999999997       180 0.0
0.47059999999999996       181 0.0
0.47319999999999995       182 0.0
0.4758                    183 0.0
0.4784                    184 0.0
0.481                     185 0.0
0.4836                    186 0.0
0.48619999999999997       187 -2.3824058604105485e-24
0.48879999999999996       188 -9.698318083126173e-24
0.4914                    189 -2.237563253901205e-23
0.494                     190 -5.558494589552756e-23
0.4966                    191 -1.3821402754765398e-22
0.4992                    192 -3.4014213757939263e-22
0.5018                    193 -8.269336369877054e-22
0.5044                    194 -1.9851571685471815e-21
0.507                     195 -4.705210989965649e-21
0.5095999999999999        196 -1.1010397680847948e-20
0.5122                    197 -2.5436398830676487e-20
0.5147999999999999        198 -5.801343391800765e-20
0.5174                    199 -1.3062131351557069e-19
0.52                      200 -2.903382125476914e-19
0.5226                    201 -6.370755021582231e-19
0.5252                    202 -1.3799573725254296e-18
0.5277999999999999        203 -2.9506627742219438e-18
0.5304                    204 -6.227923113327524e-18
0.533                     205 -1.2975580055095461e-17
0.5356                    206 -2.668454311629472e-17
0.5382                    207 -5.4166553975594835e-17
0.5408                    208 -1.0852491570122011e-16
0.5434                    209 -2.146061750305225e-16
0.5459999999999999        210 -4.1884799373608874e-16
0.5486                    211 -8.067859080526738e-16
0.5512                    212 -1.5336742270614653e-15
0.5538                    213 -2.8771682957039973e-15
0.5564                    214 -5.326453111608477e-15
0.5589999999999999        215 -9.73047191149932e-15
0.5616                    216 -1.7540165923789507e-14
0.5641999999999999        217 -3.1197314397720974e-14
0.5668                    218 -5.4747299560288894e-14
0.5694                    219 -9.478657528811753e-14
0.572                     220 -1.6189911865585297e-13
0.5746                    221 -2.727900859662416e-13
0.5771999999999999        222 -4.533878431468803e-13
0.5798                    223 -7.432529936517144e-13
0.5824                    224 -1.2016958886044033e-12
0.585                     225 -1.9160469943338867e-12
0.5876                    226 -3.012524206229817e-12
0.5902                    227 -4.670065803307115e-12
0.5928                    228 -7.137307030645421e-12
0.5953999999999999        229 -1.0752526492892361e-11
0.598                     230 -1.5965830152562324e-11
0.6006                    231 -2.336204039564825e-11
0.6032                    232 -3.368170422103032e-11
0.6058                    233 -4.783635895795136e-11
0.6083999999999999        234 -6.691278827008843e-11
0.611                     235 -9.215963686628851e-11
0.6135999999999999        236 -1.2494869019151534e-10
0.6162                    237 -1.6670271277904366e-10
0.6188                    238 -2.1878238612125722e-10
0.6214                    239 -2.8232701720696956e-10
0.624                     240 -3.580476607952544e-10
0.6265999999999999        241 -4.4597730318896475e-10
0.6292                    242 -5.451907007326526e-10
0.6317999999999999        243 -6.535158683112451e-10
0.6344                    244 -7.672691205346368e-10
0.637                     245 -8.810545534124184e-10
0.6396                    246 -9.876750983556594e-10
0.6422                    247 -1.0782037719909992e-09
0.6447999999999999        248 -1.1422585923483172e-09
0.6474                    249 -1.168511459386646e-09
0.65                      250 -1.1454396759554865e-09
0.6526                    251 -1.0622996072553315e-09
0.6552                    252 -9.102676880831596e-10
0.6577999999999999        253 -6.836585749535364e-10
0.6604                    254 -3.810989177840883e-10
0.6629999999999999        255 -6.513795203069259e-12
0.6656                    256 4.302231973397099e-10
0.6682                    257 9.13111783812022e-10
0.6708                    258 1.4204196977784272e-09
0.6734                    259 1.9256967215569966e-09
0.6759999999999999        260 2.399385237305166e-09
0.6786                    261 2.8109282880988767e-09
0.6811999999999999        262 3.1312034641598985e-09
0.6838                    263 3.3350528186049207e-09
0.6864                    264 3.40364553632986e-09
0.689                     265 3.3264084279223193e-09
0.6916                    266 3.102292346384703e-09
0.6941999999999999        267 2.7402079902466284e-09
0.6968                    268 2.2585547728388427e-09
0.6994                    269 1.6838698206829142e-09
0.702                     270 1.048726587454853e-09
0.7046                    271 3.8909971047555816e-10
0.7071999999999999        272 -2.585275903565511e-10
0.7098                    273 -8.600131215948872e-10
0.7123999999999999        274 -1.3860759112943222e-09
0.715                     275 -1.8142496995795357e-09
0.7176                    276 -2.1301085319976578e-09
0.7202                    277 -2.327694627808189e-09
0.7228                    278 -2.4091720998529026e-09
0.7253999999999999        279 -2.3838129609236193e-09
0.728                     280 -2.2664841287722917e-09
0.7305999999999999        281 -2.0758396829197556e-09
0.7332                    282 -1.8324297195334354e-09
0.7358                    283 -1.5569183027071296e-09
0.7384                    284 -1.2685640586582199e-09
0.741                     285 -9.840657536437068e-10
0.7435999999999999        286 -7.168201363814569e-10
0.7462                    287 -4.765880236016248e-10
0.7487999999999999        288 -2.6952288593488387e-10
0.7514                    289 -9.848753350993187e-11
0.754                     290 3.6430035187267504e-11
0.7565999999999999        291 1.3729202602135614e-10
0.7592                    292 2.076588774722997e-10
0.7617999999999999        293 2.5197525294489815e-10
0.7644                    294 2.7503979090575073e-10
0.767                     295 2.8158460137675744e-10
0.7696                    296 2.759728731844154e-10
0.7722                    297 2.620090588877917e-10
0.7747999999999999        298 2.4284659037518147e-10
0.7774                    299 2.2097286184828497e-10
0.7799999999999999        300 1.9824968645942774e-10
0.7826                    301 1.7598868429929754e-10
0.7852                    302 1.5504410605484295e-10
0.7878                    303 1.3590952818018714e-10
0.7904                    304 1.188089373670768e-10
0.7929999999999999        305 1.0377643853773655e-10
0.7956                    306 9.072187168131046e-11
0.7981999999999999        307 7.948189235337982e-11
0.8008                    308 6.985757825814794e-11
0.8034                    309 6.164047538638788e-11
0.8059999999999999        310 5.4629338190042686e-11
0.8086                    311 4.8639802747916245e-11
0.8111999999999999        312 4.3508997881534666e-11
0.8138                    313 3.9096757477605576e-11
0.8164                    314 3.5284727798087916e-11
0.819                     315 3.19743174813156e-11
0.8216                    316 2.9084142820801817e-11
0.8241999999999999        317 2.654738694607559e-11
0.8268                    318 2.4309317539182057e-11
0.8293999999999999        319 2.2325086130790608e-11
0.832                     320 2.055785256468594e-11
0.8346                    321 1.8977230389014026e-11
0.8371999999999999        322 1.7558023364311155e-11
0.8398                    323 1.6279212375194448e-11
0.8423999999999999        324 1.5123150076469756e-11
0.845                     325 1.4074923562387532e-11
0.8475999999999999        326 1.3121850563119942e-11
0.8502                    327 1.2253080522333491e-11
0.8528                    328 1.1459277491516595e-11
0.8553999999999999        329 1.0732366665970616e-11
0.858                     330 1.0065330446833979e-11
0.8605999999999999        331 9.452043162620004e-12
0.8632                    332 8.887136123447375e-12
0.8658                    333 8.365886629696018e-12
0.8684                    334 7.884126039042056e-12
0.871                     335 7.438163115005039e-12
0.8735999999999999        336 7.024719724722712e-12
0.8762                    337 6.640876592348785e-12
0.8787999999999999        338 6.284027299280797e-12
0.8814                    339 5.951839092935459e-12
0.884                     340 5.642219351361856e-12
0.8865999999999999        341 5.353286772411505e-12
0.8892                    342 5.083346530305353e-12
0.8917999999999999        343 4.830868779021302e-12
0.8944                    344 4.594469991886874e-12
0.8969999999999999        345 4.3728967139176145e-12
0.8996                    346 4.165011374552226e-12
0.9022                    347 3.969779866090816e-12
0.9047999999999999        348 3.786260640205662e-12
0.9074                    349 3.613595113560888e-12
0.9099999999999999        350 3.450999205884674e-12
0.9126                    351 3.2977558601308064e-12
0.9152                    352 3.153208416786243e-12
0.9178                    353 3.0167547328550217e-12
0.9204                    354 2.8878419514508605e-12
0.9229999999999999        355 2.765961841552593e-12
0.9256                    356 2.650646637951756e-12
0.9281999999999999        357 2.5414653215173945e-12
0.9308                    358 2.4380202873955163e-12
0.9334                    359 2.339944355897318e-12
0.9359999999999999        360 2.2468980867111223e-12
0.9386                    361 2.158567361814581e-12
0.9411999999999999        362 2.074661207202223e-12
0.9438                    363 1.9949098269477595e-12
0.9463999999999999        364 1.919062826419523e-12
0.949                     365 1.846887604485118e-12
0.9516                    366 1.7781678964597315e-12
0.9541999999999999        367 1.7127024522993714e-12
0.9568                    368 1.6503038358116554e-12
