t y
0.0 -1.67533606e-23
0.003 5.51207522e-24
0.006 -1.29970205e-25
0.009 3.16359684e-23
0.012 4.46328367e-23
0.015 -1.7235897e-22
0.018 9.2388261e-23
0.021 1.7904413e-22
0.024 -3.63600955e-22
0.027 2.302868e-22
0.03 -6.21850294e-22
0.033 1.01374218e-21
0.036 -1.15663727e-21
0.039 2.2479809e-22
0.042 -3.23847638e-22
0.045 1.28503227e-21
0.048 -4.42693283e-23
0.051 -1.35558194e-21
0.054 2.93806021e-21
0.057 -1.11362588e-20
0.06 9.30714918e-21
0.063 -2.88267462e-21
0.066 -8.71527683e-21
0.069 1.00667906e-20
0.072 -1.36732639e-20
0.075 -7.51687101e-21
0.078 7.82755507e-21
0.081 2.15694387e-20
0.084 -9.59422419e-21
0.087 -7.06669593e-21
0.09 1.73491175e-20
0.093 -1.00595575e-20
0.096 1.89449852e-20
0.099 -1.04750619e-19
0.102 1.73814116e-19
0.105 -4.9746014e-20
0.108 4.13680036e-20
0.111 2.4881269e-19
0.114 1.01730341e-19
0.117 3.14484179e-19
0.12 -2.47647391e-20
0.123 3.29024562e-19
0.126 -7.34584266e-20
0.129 2.184656e-19
0.132 3.95733998e-19
0.135 -2.05148711e-19
0.138 2.54795156e-19
0.141 -3.167276e-19
0.144 -3.15219876e-19
0.147 -7.58833747e-20
0.15 2.62227305e-19
0.153 3.1194177e-19
0.156 -1.64579874e-20
0.159 -9.52413877e-20
0.162 -5.28847997e-19
0.165 -1.11941041e-19
0.168 -6.71027743e-19
0.171 2.66473581e-19
0.174 -1.4443727e-18
0.177 -1.86532497e-18
0.18 -1.20421207e-21
0.183 -2.52016133e-18
0.186 -3.55280866e-18
0.189 -3.54300401e-18
0.192 -2.69863645e-18
0.195 -1.29114785e-18
0.198 -2.52664497e-18
0.201 -1.17020471e-18
0.204 -3.91399686e-18
0.207 -7.09578332e-19
0.21 -1.09611023e-18
0.213 3.58395757e-19
0.216 2.12970906e-18
0.219 -1.67042853e-18
0.222 9.99394128e-19
0.225 3.58999938e-18
0.228 4.960665e-18
0.231 4.51860911e-21
0.234 1.84269449e-18
0.237 -3.65501757e-19
0.24 9.64421912e-18
0.243 -5.97423288e-18
0.246 8.97771138e-18
0.249 -1.31083809e-17
0.252 4.22267393e-18
0.255 -5.46975903e-18
0.258 5.09707752e-18
0.261 2.95674863e-19
0.264 3.84188036e-18
0.267 6.16077181e-18
0.27 3.15383589e-19
0.273 1.00021913e-17
0.276 -3.59660172e-18
0.279 1.18955378e-18
0.282 2.67475285e-18
0.285 -4.4449435e-18
0.288 7.10067812e-18
0.291 4.33816854e-18
0.294 -5.8993169e-18
0.297 -1.54265836e-18
0.3 1.67491782e-18
0.303 -7.63243036e-18
0.306 6.52433128e-18
0.309 -1.19139589e-18
0.312 -2.37086365e-17
0.315 -3.20106286e-17
0.318 -1.94429519e-17
0.321 -2.32626477e-17
0.324 3.59603327e-18
0.327 -7.77100744e-18
0.33 -2.46071771e-17
0.333 -3.07583807e-17
0.336 4.91478507e-17
0.339 -3.2096248e-17
0.342 2.86797485e-17
0.345 -1.92970421e-17
0.348 1.48895771e-17
0.351 4.29151877e-17
0.354 1.08559652e-17
0.357 2.70104145e-17
0.36 3.49039433e-17
0.363 4.93886307e-17
0.366 3.95831577e-17
0.369 1.18143454e-17
0.372 1.26658122e-16
0.375 -1.62232592e-17
0.378 1.29630997e-17
0.381 7.6244029e-17
0.384 -6.89396337e-17
0.387 3.25697147e-17
0.39 1.61365214e-16
0.393 -1.29038164e-16
0.396 7.73695805e-17
0.399 4.03184104e-17
0.402 -1.52603232e-17
0.405 5.49964532e-17
0.408 7.47498321e-17
0.411 -1.45373588e-16
0.414 1.53739324e-16
0.417 1.62353487e-16
0.42 -2.33066618e-16
0.423 2.09919148e-16
0.426 2.22176123e-16
0.429 1.81478023e-16
0.432 5.44648966e-16
0.435 1.44554257e-15
0.438 2.67594419e-15
0.441 5.08706313e-15
0.444 1.12500625e-14
0.447 2.25119833e-14
0.45 4.38253886e-14
0.453 8.51354113e-14
0.456 1.62567961e-13
0.459 2.95337513e-13
0.462 5.11656223e-13
0.465 8.22548032e-13
0.468 1.16564605e-12
0.471 1.22337178e-12
0.474 -3.24933548e-14
0.477 -5.38933753e-12
0.48 -2.18767045e-11
0.483 -6.7332551e-11
0.486 -1.79510489e-10
0.489 -4.44953176e-10
0.492 -1.04953446e-09
0.495 -2.38502159e-09
0.498 -5.32352165e-09
0.501 -1.14374629e-08
0.504 -2.40187661e-08
0.507 -4.93884094e-08
0.51 -9.95466131e-08
0.513 -1.98882227e-07
0.516 -3.85691071e-07
0.519 -7.34029998e-07
0.522 -1.37098104e-06
0.525 -2.51287507e-06
0.528 -4.5604441e-06
0.531 -8.04489028e-06
0.534 -1.39217509e-05
0.537 -2.36298682e-05
0.54 -3.93325271e-05
0.543 -6.46765716e-05
0.546 -0.000103447659
0.549 -0.000162172648
0.552 -0.000249129014
0.555 -0.000374935527
0.558 -0.000555926282
0.561 -0.000802058633
0.564 -0.00113258205
0.567 -0.00156467865
0.57 -0.00211376513
0.573 -0.0028022777
0.576 -0.00361164555
0.579 -0.00454171401
0.582 -0.00556649286
0.585 -0.00664037389
0.588 -0.00771218543
0.591 -0.00865962102
0.594 -0.0093940368
0.597 -0.00980024453
0.6 -0.00976446815
0.603 -0.00917477038
0.606 -0.00798178719
0.609 -0.00616131983
0.612 -0.00375283175
0.615 -0.00086150758
0.618 0.00239423938
0.621 0.00568662195
0.624 0.00880376092
0.627 0.0114773531
0.63 0.0134620357
0.633 0.0145764141
0.636 0.0146760075
0.639 0.0137770384
0.642 0.0119769996
0.645 0.00947109079
0.648 0.00648317213
0.651 0.00342543344
0.654 0.000576362777
0.657 -0.00177577835
0.66 -0.00341060883
0.663 -0.00420563388
0.666 -0.00411333976
0.669 -0.00323269243
0.672 -0.00172991398
0.675 0.00016820962
0.678 0.00223759042
0.681 0.0041597946
0.684 0.00574880167
0.687 0.0068434114
0.69 0.00735484151
0.693 0.0072481728
0.696 0.00658375812
0.699 0.00546207384
0.702 0.00401842717
0.705 0.00237772545
0.708 0.000740033541
0.711 -0.000789596454
0.714 -0.00211048753
0.717 -0.00315607188
0.72 -0.00390359085
0.723 -0.00432986569
0.726 -0.0044741206
0.729 -0.00437928011
0.732 -0.00409807794
0.735 -0.00367878631
0.738 -0.00318748983
0.741 -0.00266424696
0.744 -0.00214584238
0.747 -0.00165978779
0.75 -0.00121879194
0.753 -0.000848582633
0.756 -0.000548716242
0.759 -0.000322439514
0.762 -0.000170667424
0.765 -9.19742853e-05
0.768 -8.63312374e-05
0.771 -0.000147527838
0.774 -0.000268551048
0.777 -0.000439249466
0.78 -0.000649490775
0.783 -0.000875778532
0.786 -0.00110182475
0.789 -0.00130721733
0.792 -0.00147216711
0.795 -0.00158063152
0.798 -0.0016165034
0.801 -0.00157554149
0.804 -0.00145851442
0.807 -0.00127358276
0.81 -0.00103161226
0.813 -0.000760490402
0.816 -0.000480096239
0.819 -0.000214053843
0.822 1.63654078e-05
0.825 0.000197050347
0.828 0.000312716167
0.831 0.000364890129
0.834 0.000359791828
0.837 0.000310610195
0.84 0.000234406112
0.843 0.000154792865
0.846 9.15937858e-05
0.849 6.27928319e-05
0.852 8.1240121e-05
0.855 0.000154661408
0.858 0.000279595805
0.861 0.000448541584
0.864 0.000647541806
0.867 0.000858767372
0.87 0.00106579897
0.873 0.00124328563
0.876 0.00137858491
0.879 0.00146011992
0.882 0.00148145565
0.885 0.00144123424
0.888 0.0013447849
0.891 0.00120093955
0.894 0.00102166812
0.897 0.000817549805
0.9 0.000609447761
0.903 0.000408207852
0.906 0.000226250267
0.909 7.38826171e-05
0.912 -4.26579692e-05
0.915 -0.0001149714
0.918 -0.000143586275
0.921 -0.000130203864
0.924 -7.98026194e-05
0.927 9.24507787e-07
0.93 9.84479316e-05
0.933 0.000200716706
0.936 0.000293337837
0.939 0.00036173636
0.942 0.000392575956
0.945 0.000373833214
0.948 0.000299219659
0.951 0.000166526859
0.954 -2.08970485e-05
0.957 -0.000257916065
0.96 -0.000522627901
0.963 -0.000799572717
0.966 -0.00106711709
0.969 -0.00130258713
0.972 -0.00148653951
0.975 -0.00159419067
0.978 -0.00161452859
0.981 -0.00153902745
0.984 -0.00136571016
0.987 -0.00109451655
0.99 -0.000745235438
0.993 -0.000331438888
0.996 0.000125257386
0.999 0.000600034467
1.002 0.00107348159
1.005 0.00150414693
1.008 0.00187450248
1.011 0.00216273553
1.014 0.00235158384
1.017 0.00242982795
1.02 0.00239014106
1.023 0.00223688515
1.026 0.00197935733
1.029 0.00163329819
1.032 0.00121290735
1.035 0.000756276805
1.038 0.00028406092
1.041 -0.000177351597
1.044 -0.000603852277
1.047 -0.000980641778
1.05 -0.0012812321
1.053 -0.00150332034
1.056 -0.00164453149
1.059 -0.00170822509
1.062 -0.00170195573
1.065 -0.00163769444
1.068 -0.00152948074
1.071 -0.0013914343
1.074 -0.00123437606
1.077 -0.00107471448
1.08 -0.000918972638
1.083 -0.00077309537
1.086 -0.000640135927
1.089 -0.000518784104
1.092 -0.00041112129
1.095 -0.000312129555
1.098 -0.000218094581
1.101 -0.000125376831
1.104 -2.96001623e-05
1.107 6.7842079e-05
1.11 0.000168172457
1.113 0.000269192182
1.116 0.000366757791
1.119 0.000456322981
1.122 0.000528064547
1.125 0.000576057341
1.128 0.000593387849
1.131 0.000574576484
1.134 0.000515266327
1.137 0.000417279129
1.14 0.000283634911
1.143 0.000121686974
1.146 -5.77485589e-05
1.149 -0.000243886627
1.152 -0.000415457978
1.155 -0.000559603753
1.158 -0.00066171043
1.161 -0.00070979451
1.164 -0.000695138753
1.167 -0.000615286996
1.17 -0.000473407186
1.173 -0.00027822394
1.176 -4.38221878e-05
1.179 0.000215439011
1.182 0.00047012699
1.185 0.000702120234
1.188 0.000890736366
1.191 0.0010187073
1.194 0.00107425626
1.197 0.0010502135
1.2 0.00094994161
1.203 0.000782491517
1.206 0.000563146273
1.209 0.000307764103
1.212 4.69601983e-05
1.215 -0.000200378249
1.218 -0.000413793347
1.221 -0.00057698681
1.224 -0.00068034785
1.227 -0.000716352428
1.23 -0.000689211161
1.233 -0.000606724918
1.236 -0.00048113861
1.239 -0.000325017406
1.242 -0.00015960204
1.245 1.67399497e-06
1.248 0.00014515773
1.251 0.000260289442
1.254 0.000341224204
1.257 0.000382673414
1.26 0.00038726675
1.263 0.000359404013
1.266 0.00030499793
1.269 0.000234280685
1.272 0.000155530519
1.275 7.71674214e-05
1.278 6.24651275e-06
1.281 -5.29479928e-05
1.284 -9.5786544e-05
1.287 -0.000122815892
1.29 -0.000135540535
1.293 -0.000136910542
1.296 -0.000130527041
1.299 -0.0001204933
1.302 -0.000110160425
1.305 -0.000102088117
1.308 -9.78275983e-05
1.311 -9.79938863e-05
1.314 -0.000102361053
1.317 -0.000110126874
1.32 -0.000120185411
1.323 -0.000131206796
1.326 -0.000141770796
1.329 -0.000149596512
1.332 -0.000152402342
1.335 -0.000147111998
1.338 -0.000130073198
1.341 -9.66640882e-05
1.344 -4.40888823e-05
1.347 3.09222438e-05
1.35 0.000129606235
1.353 0.000250839784
1.356 0.000392947442
1.359 0.000544477249
1.362 0.000697777267
1.365 0.000841170651
1.368 0.000962099435
1.371 0.00104944917
1.374 0.00109006414
1.377 0.00107826588
1.38 0.0010106022
1.383 0.000887940524
1.386 0.000712393046
1.389 0.000498476352
1.392 0.000255834808
1.395 -1.70100403e-06
1.398 -0.000259639344
1.401 -0.000507627423
1.404 -0.000725406244
