medit:ref velocity vtkValidPointMask arc_length Points:0 Points:1 Points:2
0 1546.1 1 26.982 4500 27.982 0
0 1584.5 1 56.962 4500 57.962 0
0 1554.6 1 86.942 4500 87.942 0
0 1589.5 1 116.92 4500 117.92 0
0 1737 1 146.9 4500 147.9 0
0 1695 1 176.88 4500 177.88 0
0 1702 1 206.86 4500 207.86 0
0 1709.5 1 236.84 4500 237.84 0
0 1787 1 266.82 4500 267.82 0
0 1794.5 1 296.8 4500 297.8 0
0 1671.9 1 326.78 4500 327.78 0
0 1759.4 1 356.76 4500 357.76 0
0 1731.9 1 386.74 4500 387.74 0
0 1704.2 1 416.72 4500 417.72 0
0 1641.9 1 446.7 4500 447.7 0
0 1649.4 1 476.68 4500 477.68 0
0 1707.4 1 506.66 4500 507.66 0
0 1734.4 1 536.64 4500 537.64 0
0 2188.9 1 566.62 4500 567.62 0
0 2184.3 1 596.6 4500 597.6 0
0 2227.7 1 626.58 4500 627.58 0
0 2326.6 1 656.56 4500 657.56 0
0 2337.8 1 686.54 4500 687.54 0
0 2349.1 1 716.52 4500 717.52 0
0 2300.3 1 746.5 4500 747.5 0
0 2494.8 1 776.48 4500 777.48 0
0 2681.3 1 806.46 4500 807.46 0
0 2840.8 1 836.44 4500 837.44 0
0 2749.4 1 866.42 4500 867.42 0
0 2851.4 1 896.4 4500 897.4 0
0 2279.6 1 926.38 4500 927.38 0
0 2217.5 1 956.36 4500 957.36 0
0 2217.1 1 986.34 4500 987.34 0
0 2532.8 1 1016.3 4500 1017.3 0
0 2341.9 1 1046.3 4500 1047.3 0
0 2333.6 1 1076.3 4500 1077.3 0
0 2342 1 1106.3 4500 1107.3 0
0 2371.3 1 1136.2 4500 1137.2 0
0 2409.6 1 1166.2 4500 1167.2 0
0 2698.3 1 1196.2 4500 1197.2 0
0 2717 1 1226.2 4500 1227.2 0
0 2735.7 1 1256.2 4500 1257.2 0
0 2754.5 1 1286.1 4500 1287.1 0
0 2543.2 1 1316.1 4500 1317.1 0
0 2521.9 1 1346.1 4500 1347.1 0
0 2541.6 1 1376.1 4500 1377.1 0
0 2579.4 1 1406.1 4500 1407.1 0
0 3483.2 1 1436 4500 1437 0
0 3502.3 1 1466 4500 1467 0
0 3650 1 1496 4500 1497 0
0 3396.3 1 1526 4500 1527 0
0 3484.7 1 1556 4500 1557 0
0 2690.8 1 1585.9 4500 1586.9 0
0 2683.9 1 1615.9 4500 1616.9 0
0 2769.6 1 1645.9 4500 1646.9 0
0 2716.4 1 1675.9 4500 1676.9 0
0 2934.2 1 1705.9 4500 1706.9 0
0 2985.6 1 1735.8 4500 1736.8 0
0 3892.8 1 1765.8 4500 1766.8 0
0 2500 1 1795.8 4500 1796.8 0
0 2491.2 1 1825.8 4500 1826.8 0
0 2458.4 1 1855.8 4500 1856.8 0
0 2500 1 1885.7 4500 1886.7 0
0 3200 1 1915.7 4500 1916.7 0
0 3200 1 1945.7 4500 1946.7 0
0 3200 1 1975.7 4500 1976.7 0
0 3200 1 2005.7 4500 2006.7 0
0 3200 1 2035.6 4500 2036.6 0
0 3688.9 1 2065.6 4500 2066.6 0
0 3796.7 1 2095.6 4500 2096.6 0
0 3550 1 2125.6 4500 2126.6 0
0 3550 1 2155.6 4500 2156.6 0
0 3300 1 2185.5 4500 2186.5 0
0 3300 1 2215.5 4500 2216.5 0
0 3300 1 2245.5 4500 2246.5 0
0 3300.1 1 2275.5 4500 2276.5 0
0 3321.2 1 2305.5 4500 2306.5 0
0 3600 1 2335.4 4500 2336.4 0
0 3607.4 1 2365.4 4500 2366.4 0
0 3650 1 2395.4 4500 2396.4 0
0 3466.8 1 2425.4 4500 2426.4 0
0 3700 1 2455.4 4500 2456.4 0
0 4230 1 2485.3 4500 2486.3 0
0 4230 1 2515.3 4500 2516.3 0
0 4560 1 2545.3 4500 2546.3 0
0 4594.8 1 2575.3 4500 2576.3 0
0 4670 1 2605.3 4500 2606.3 0
0 3621.2 1 2635.2 4500 2636.2 0
0 3580 1 2665.2 4500 2666.2 0
0 3580 1 2695.2 4500 2696.2 0
0 3505.7 1 2725.2 4500 2726.2 0
0 3470 1 2755.2 4500 2756.2 0
0 3305.9 1 2785.1 4500 2786.1 0
0 3510.9 1 2815.1 4500 2816.1 0
0 3530 1 2845.1 4500 2846.1 0
0 3964.7 1 2875.1 4500 2876.1 0
0 4230 1 2905.1 4500 2906.1 0
0 4192.2 1 2935 4500 2936 0
0 3999.9 1 2965 4500 2966 0
0 3895.7 1 2995 4500 2996 0
