       monx    mony
           1   1000
           2   1000
           3   1000
           4   1000
           5   1000
           6   1000
           7   1000
           8   1000
           9   1000
          10   1000
          11   1000
          12   1000
          13   1000
          14   1000
          15   1000
          16   1000
          17   1000
          18   1000
          19   1000
          20   1000
          21   1000
          22   1000
          23   1000
          24   1000
          25   1000
          26   1000
          27   1000
          28   1000
          29   1000
          30   1000
          31   1000
          32   1000
          33   1000
          34   1199
          35   1199
          36   1199
          37   1199
          38   1199
          39   1199
          40   1199
          41   1199
          42   1199
          43   1199
          44   1199
          45   1198
          46   1198
          47   1198
          48   1198
          49   1198
          50   1198
          51   1198
          52   1198
          53   1198
          54   1198
          55   1198
          56   1196
          57   1196
          58   1196
          59   1196
          60   1196
          61   1196
          62   1196
          63   1196
          64   1196
          65   1196
          66   1196
          67   1195
          68   1195
          69   1195
          70   1195
          71   1195
          72   1195
          73   1195
          74   1195
          75   1195
          76   1195
          77   1195
          78   1195
          79   1195
          80   1195
          81   1195
          82   1195
          83   1195
          84   1195
          85   1195
          86   1195
          87   1195
          88   1195
          89   1194
          90   1194
          91   1194
          92   1194
          93   1194
          94   1194
          95   1194
          96   1194
          97   1194
          98   1194
          99   1194
         100   1194
