           monx             mony
	   1              8.9814417339911715E-006
           2              4.4893623146053999E-006
           3              3.3826808499058260E-006
           4              2.9536455152613300E-006
           5              2.2872933597604999E-006
           6              2.0615737283535929E-006
           7              1.8010207603587677E-006
           8              1.6591204990835499E-006
           9              1.5520610864169744E-006
          10              1.5374587633341205E-006
          11              1.4693125017637656E-006
          12              1.2235467192778441E-006
          13              1.2053713134281601E-006
          14              1.0320744974928065E-006
          15              9.6868990790163402E-007
          16              8.7457895810914948E-007
          17              8.1284506993235054E-007
          18              8.0204922236261549E-007
          19              7.8443957693391942E-007
          20              6.4421566402502112E-007
          21              6.3897031499057563E-007
          22              5.4482711728611922E-007
          23              5.1713984541281760E-007
          24              4.6444593114822877E-007
          25              4.3403257970406179E-007
          26              4.3401524138363299E-007
          27              4.2089710057197576E-007
          28              3.4650832989457222E-007
          29              3.4619011562133435E-007
          30              2.9410686704686416E-007
          31              2.7951485172417459E-007
          32              2.5056042498107273E-007
          33              2.3528050447220261E-007
          34              2.1747461556242902E-007
          35              2.0200389528104861E-007
          36              1.9439711993881744E-007
          37              1.8813155210213872E-007
          38              1.6176171316627077E-007
          39              1.5452808368349093E-007
          40              1.3813258523121351E-007
          41              1.2921739268669544E-007
          42              1.1964097659611738E-007
          43              1.1120069064727259E-007
          44              1.0712139515008935E-007
          45              1.0365808381242260E-007
          46              8.9124815674223829E-008
          47              8.4532145781874106E-008
          48              7.5570835659372168E-008
          49              7.0947040539384790E-008
          50              6.5396367885576103E-008
          51              6.0720758672506216E-008
          52              5.8705313955685674E-008
          53              5.7282464342180001E-008
          54              4.8532821439937486E-008
          55              4.6102137866708754E-008
          56              4.1404883390852724E-008
          57              3.8799887127025816E-008
          58              3.5879966065365556E-008
          59              3.3281205541150425E-008
          60              3.1914462451976819E-008
          61              3.1483917559187245E-008
          62              2.6440256919988649E-008
          63              2.5020564382164530E-008
          64              2.2620860147609953E-008
          65              2.1219779008243040E-008
          66              1.9638747642559280E-008
          67              1.8219286534474327E-008
          68              1.7513366696414052E-008
          69              1.7339611795495396E-008
          70              1.4507577018681311E-008
          71              1.3699968821301443E-008
          72              1.2180107968791132E-008
          73              1.1525379812723208E-008
          74              1.0582893511612018E-008
          75              9.7979278104651446E-009
          76              9.7170685099554452E-009
          77              9.4488142067919381E-009
          78              8.0704383657252911E-009
          79              7.5770672704594337E-009
          80              6.8415138882390252E-009
          81              6.4762655949966209E-009
          82              6.3407894112000580E-009
          83              5.4353313372760623E-009
          84              4.7200159372356084E-009
          85              4.4629433174533423E-009
          86              4.1456967039222031E-009
          87              4.1291414571083217E-009
          88              3.5181255877981115E-009
          89              3.2358226981664716E-009
          90              2.9560865081587678E-009
          91              2.7775366010886372E-009
          92              2.6128336718649473E-009
          93              2.4202380523896513E-009
          94              2.4032384518700266E-009
          95              2.2733550037809621E-009
          96              2.0723330260409830E-009
          97              1.9187380747841292E-009
          98              1.8366123095383324E-009
          99              1.7254516862948636E-009
         100              1.6532136468817107E-009
